"tot";"tot";"X3"
"PRZ";"ALB";"series"
"0";"0.000159008097";"a"
"1.029757E-005";"0.0001586862";"a"
"6.16812E-005";"0.0001570801";"a"
"0.0001125447";"0.0001554902";"a"
"0.0001628935";"0.0001539164";"a"
"0.0002127326";"0.0001523585";"a"
"0.0002620673";"0.0001508164";"a"
"0.0003109027";"0.00014929";"a"
"0.0003592437";"0.0001477789";"a"
"0.0004070955";"0.0001462832";"a"
"0.0004544629";"0.0001448026";"a"
"0.000501351";"0.000143337";"a"
"0.0005477644";"0.0001418862";"a"
"0.0005937081";"0.0001404501";"a"
"0.0006391867";"0.0001390285";"a"
"0.000684205";"0.0001376214";"a"
"0.0007287677";"0.0001362284";"a"
"0.0007728794";"0.0001348496";"a"
"0.0008165445";"0.0001334847";"a"
"0.0008597677";"0.0001321337";"a"
"0.0009025535";"0.0001307963";"a"
"0.0009449062";"0.0001294724";"a"
"0.0009868302";"0.000128162";"a"
"0.00102833";"0.0001268648";"a"
"0.001069409";"0.0001255807";"a"
"0.001110073";"0.0001243097";"a"
