"data";"volumes";"observation";"dilution";"deviation"
1;0,004;0,000328;0;1e-09
2;0,004;0,000338;0;1e-09
3;0,004;0,00034;0;1e-09
4;0,004;0,000342;0;1e-09
5;0,004;0,00034;0;1e-09
6;0,004;0,000344;0;1e-09
7;0,004;0,000341;0;1e-09
8;0,004;0,000341;0;1e-09
9;0,004;0,000344;0;1e-09
10;0,004;0,000342;0;1e-09
11;0,004;0,00034;0;1e-09
12;0,004;0,000342;0;1e-09
13;0,004;0,000342;0;1e-09
14;0,004;0,000341;0;1e-09
15;0,004;0,00034;0;1e-09
16;0,004;0,000344;0;1e-09
17;0,004;0,000341;0;1e-09
18;0,004;0,000335;0;1e-09
19;0,004;0,000329;0;1e-09
20;0,004;0,000326;0;1e-09
21;0,004;0,000316;0;1e-09
22;0,004;0,000315;0;1e-09
23;0,004;0,000305;0;1e-09
24;0,004;0,000299;0;1e-09
25;0,004;0,000286;0;1e-09
26;0,004;0,000273;0;1e-09
27;0,00399999999999978;0,000256;0;1e-09
28;0,004;0,000245;0;1e-09
29;0,004;0,000224;0;1e-09
30;0,004;0,000206;0;1e-09
31;0,004;0,000182;0;1e-09
32;0,004;0,000155;0;1e-09
33;0,004;0,000139;0;1e-09
34;0,004;0,000124;0;1e-09
35;0,004;0,000107;0;1e-09
36;0,004;9,2e-05;0;1e-09
37;0,004;8,1e-05;0;1e-09
38;0,004;7e-05;0;1e-09
39;0,004;6,2e-05;0;1e-09
40;0,004;5,6e-05;0;1e-09
41;0,004;4,5e-05;0;1e-09
42;0,004;4,2e-05;0;1e-09
43;0,004;3,4e-05;0;1e-09
44;0,015;0,000688;0;1e-09
45;0,015;0,000251;0;1e-09
46;0,015;0,000149;0;1e-09
47;0,015;0,000107;0;1e-09
48;0,015;8,5e-05;0;1e-09
49;0,015;7,8e-05;0;1e-09
50;0,015;6,7e-05;0;1e-09
51;0,015;5,8e-05;0;1e-09
52;0,015;5,4e-05;0;1e-09
53;0,015;5,3e-05;0;1e-09
54;0,015;5,3e-05;0;1e-09
55;0,015;4,8e-05;0;1e-09
56;0,015;4,1e-05;0;1e-09
57;0,015;3,8e-05;0;1e-09
58;0,015;3,8e-05;0;1e-09
