tot	tot	tot	tot	tot
molecule1	molecule2	molecule3	molecule4	molecule5
1,056e-01	8,880e-02	1,016e-04	9,923e-06	1,000e-19
1,012e-01	8,851e-02	1,016e-04	1,985e-05	1,000e-19
9,680e-02	8,140e-02	1,016e-04	2,977e-05	1,000e-19
9,240e-02	7,770e-02	1,016e-04	3,969e-05	1,000e-19
8,800e-02	7,400e-02	1,016e-04	4,962e-05	1,000e-19
8,360e-02	7,030e-02	1,016e-04	5,954e-05	1,000e-19
7,920e-02	6,660e-02	1,016e-04	6,946e-05	1,000e-19
7,480e-02	6,290e-02	1,016e-04	7,938e-05	1,000e-19
7,040e-02	5,920e-02	1,016e-04	8,931e-05	1,000e-19
6,600e-02	5,550e-02	1,016e-04	9,923e-05	8,500e-05
6,600e-02	5,550e-02	1,000e-04	5,000e-05	8,500e-05
