tot;tot;tot;tot;tot;
H;PO4;Hydr;Cu;DNA;series
1,056E-01;8,880E-02;1,016E-04;9,923E-06;1,000E-19;a
1,012E-01;8,851E-02;1,016E-04;1,985E-05;1,000E-19;a
9,680E-02;8,140E-02;1,016E-04;2,977E-05;1,000E-19;ass
9,240E-02;7,770E-02;1,016E-04;3,969E-05;1,000E-19;ass
8,800E-02;7,400E-02;1,016E-04;4,962E-05;1,000E-19;b
8,360E-02;7,030E-02;1,016E-04;5,954E-05;1,000E-19;b
7,920E-02;6,660E-02;1,016E-04;6,946E-05;1,000E-19;b
7,480E-02;6,290E-02;1,016E-04;7,938E-05;1,000E-19;b
7,040E-02;5,920E-02;1,016E-04;8,931E-05;1,000E-19;c
6,600E-02;5,550E-02;1,016E-04;9,923E-05;8,500E-05;c
6,600E-02;5,550E-02;1,000E-04;5,000E-05;8,500E-05;c
