label;value
190;3,1562
190,5;2,439
191;1,5224
191,5;0,9778
192;1,8506
192,5;1,2834
193;1,9165
193,5;1,5488
194;1,1026
194,5;1,1669
195;0,7561
195,5;1,5482
196;2,5135
196,5;1,7253
197;0,8187
197,5;1,7529
198;1,2273
198,5;1,3348
199;1,3781
199,5;1,2756
200;0,585
200,5;0,9951
201;1,3434
201,5;1,4706
202;1,5162
202,5;1,3844
203;1,7525
203,5;2,8804
204;2,3289
204,5;2,9037
205;2,4572
205,5;2,8168
206;3,0828
206,5;2,9992
207;3,2153
207,5;3,0669
208;3,2981
208,5;3,2564
209;3,3815
209,5;3,321
210;3,3733
210,5;3,5232
211;3,4889
211,5;3,618
212;3,5481
212,5;3,536
213;3,6927
213,5;3,6687
214;3,6897
214,5;3,6633
215;3,615
215,5;3,6061
216;3,6692
216,5;3,6364
217;3,6799
217,5;3,6732
218;3,5095
218,5;3,5132
219;3,3739
219,5;3,1638
220;2,8764
220,5;2,5553
221;2,24
221,5;1,9532
222;1,7104
222,5;1,4998
223;1,3191
223,5;1,1665
224;1,0381
224,5;0,9312
225;0,8515
225,5;0,7821
226;0,7228
226,5;0,674
227;0,6336
227,5;0,6014
228;0,5758
228,5;0,5564
229;0,542
229,5;0,5311
230;0,5224
230,5;0,5168
231;0,5139
231,5;0,5132
232;0,5142
232,5;0,5167
233;0,5204
233,5;0,5251
234;0,5313
234,5;0,5381
235;0,5446
235,5;0,5525
236;0,5605
236,5;0,5685
237;0,5774
237,5;0,5854
238;0,5937
238,5;0,6011
239;0,6089
239,5;0,6161
240;0,6225
240,5;0,6287
241;0,6341
241,5;0,6389
242;0,6425
242,5;0,6456
243;0,6474
243,5;0,6482
244;0,6479
244,5;0,6466
245;0,6441
245,5;0,6401
246;0,6352
246,5;0,6291
247;0,6219
247,5;0,6133
248;0,6034
248,5;0,5916
249;0,5794
249,5;0,5652
250;0,5506
250,5;0,5339
251;0,5176
251,5;0,4999
252;0,481
252,5;0,4617
253;0,4405
253,5;0,4208
254;0,4005
254,5;0,38
255;0,3608
255,5;0,3407
256;0,3211
256,5;0,3032
257;0,2859
257,5;0,2682
258;0,2511
258,5;0,2351
259;0,2217
259,5;0,2088
260;0,1969
260,5;0,1852
261;0,1747
261,5;0,1655
262;0,1572
262,5;0,1504
263;0,1444
263,5;0,1388
264;0,134
264,5;0,13
265;0,1268
265,5;0,1244
266;0,1225
266,5;0,1212
267;0,1204
267,5;0,1203
268;0,1207
268,5;0,1216
269;0,1228
269,5;0,1245
270;0,1268
270,5;0,1295
271;0,1326
271,5;0,1363
272;0,1404
272,5;0,1446
273;0,149
273,5;0,154
274;0,1592
274,5;0,1648
275;0,1709
275,5;0,1773
276;0,1839
276,5;0,1908
277;0,1979
277,5;0,2056
278;0,2135
278,5;0,2211
279;0,2294
279,5;0,2382
280;0,2471
280,5;0,2562
281;0,2659
281,5;0,2761
282;0,2862
282,5;0,2962
283;0,3057
