label,value
1700.20158,0
1699.71939,0.00037
1699.2372,0.00086
1698.75501,0.00138
1698.27282,0.00186
1697.79063,0.00225
1697.30844,0.00246
1696.82625,0.00242
1696.34406,0.0021
1695.86187,0.00154
1695.37968,0.00088
1694.89749,0.0003
1694.4153,0
1693.93311,0
1693.45092,0.00028
1692.96873,0.00071
1692.48654,0.00111
1692.00435,0.00132
1691.52216,0.00127
1691.03997,0.00095
1690.55778,0.00049
1690.07559,0.00008
1689.5934,0
1689.11121,0.00033
1688.62903,0.00114
1688.14684,0.00231
1687.66465,0.00371
1687.18246,0.00521
1686.70027,0.00672
1686.21808,0.00816
1685.73589,0.00953
1685.2537,0.01089
1684.77151,0.01225
1684.28932,0.01367
1683.80713,0.01515
1683.32494,0.01665
1682.84275,0.01813
1682.36056,0.01952
1681.87837,0.02072
1681.39618,0.02163
1680.91399,0.02228
1680.4318,0.02272
1679.94961,0.02312
1679.46742,0.02357
1678.98523,0.02422
1678.50304,0.02515
1678.02085,0.02639
1677.53866,0.02791
1677.05647,0.02958
1676.57428,0.03131
1676.09209,0.03297
1675.6099,0.03444
1675.12771,0.03574
1674.64552,0.03696
1674.16333,0.03829
1673.68114,0.03986
1673.19895,0.04167
1672.71676,0.04366
1672.23457,0.04571
1671.75238,0.04775
1671.27019,0.04968
1670.788,0.05147
1670.30581,0.05315
1669.82362,0.05477
1669.34143,0.05644
1668.85924,0.05823
1668.37705,0.06015
1667.89486,0.06219
1667.41267,0.06434
1666.93048,0.06657
1666.44829,0.06885
1665.9661,0.07115
1665.48391,0.07345
1665.00172,0.07573
1664.51953,0.07796
1664.03734,0.08015
1663.55515,0.08242
1663.07296,0.08489
1662.59077,0.08764
1662.10858,0.09063
1661.62639,0.09371
1661.1442,0.09672
1660.66201,0.09947
1660.17982,0.10175
1659.69763,0.10342
1659.21544,0.10441
1658.73325,0.10482
1658.25106,0.10499
1657.76887,0.10535
1657.28668,0.10627
1656.80449,0.10792
1656.3223,0.11022
1655.84011,0.11295
1655.35792,0.11584
1654.87573,0.11859
1654.39354,0.12101
1653.91135,0.12301
1653.42916,0.12455
1652.94697,0.12573
1652.46478,0.12657
1651.98259,0.12717
1651.5004,0.12759
1651.01821,0.12792
1650.53602,0.12819
1650.05383,0.12828
1649.57164,0.128
1649.08945,0.12718
1648.60726,0.12574
1648.12507,0.12382
1647.64288,0.1217
1647.16069,0.11978
1646.6785,0.11838
1646.19631,0.11763
1645.71412,0.11736
1645.23193,0.11726
1644.74974,0.11707
1644.26756,0.11657
1643.78537,0.11567
1643.30318,0.1143
1642.82099,0.11248
1642.3388,0.11026
1641.85661,0.10765
1641.37442,0.10476
1640.89223,0.10179
1640.41004,0.09907
1639.92785,0.09693
1639.44566,0.09546
1638.96347,0.09453
1638.48128,0.0939
1637.99909,0.09334
1637.5169,0.09274
1637.03471,0.09203
1636.55252,0.09125
1636.07033,0.09039
1635.58814,0.08946
1635.10595,0.08846
1634.62376,0.08735
1634.14157,0.08606
1633.65938,0.08458
1633.17719,0.08293
1632.695,0.08114
1632.21281,0.07927
1631.73062,0.07727
1631.24843,0.07511
1630.76624,0.07271
1630.28405,0.07005
1629.80186,0.0672
1629.31967,0.06441
1628.83748,0.0619
1628.35529,0.05977
1627.8731,0.05794
1627.39091,0.05626
1626.90872,0.05461
1626.42653,0.05293
1625.94434,0.05121
1625.46215,0.04947
1624.97996,0.04771
1624.49777,0.04594
1624.01558,0.04408
1623.53339,0.04202
1623.0512,0.03966
1622.56901,0.03706
1622.08682,0.03442
1621.60463,0.03209
1621.12244,0.03023
1620.64025,0.02872
1620.15806,0.02741
1619.67587,0.02611
1619.19368,0.02473
1618.71149,0.02322
1618.2293,0.02166
1617.74711,0.02017
1617.26492,0.01887
1616.78273,0.01779
1616.30054,0.01686
1615.81835,0.01598
1615.33616,0.01509
1614.85397,0.01419
1614.37178,0.01331
1613.88959,0.01245
1613.4074,0.01154
1612.92521,0.01053
1612.44302,0.00937
1611.96083,0.00806
1611.47864,0.0067
1610.99645,0.00545
1610.51426,0.0045
1610.03207,0.00388
1609.54988,0.00348
1609.06769,0.00313
1608.5855,0.00275
1608.10331,0.00235
1607.62112,0.00196
1607.13893,0.00159
1606.65674,0.00126
1606.17455,0.00096
1605.69236,0.00071
1605.21017,0.0005
1604.72798,0.00031
1604.24579,0.00015
1603.7636,0.00004
1603.28141,0
1602.79922,0
1602.31703,0
1601.83484,0
1601.35265,0
1600.87046,0
1600.38827,0
1599.90608,0
