label	value
1700.20158	0
1699.71939	0.00252
1699.2372	0.0033
1698.75501	0.00269
1698.27282	0.00151
1697.79063	4.40E-04
1697.30844	0
1696.82625	0
1696.34406	0.00105
1695.86187	0.00303
1695.37968	0.00486
1694.89749	0.00566
1694.4153	0.00555
1693.93311	0.0051
1693.45092	0.00471
1692.96873	0.00445
1692.48654	0.00429
1692.00435	0.00422
1691.52216	0.00425
1691.03997	0.00446
1690.55778	0.00488
1690.07559	0.00547
1689.5934	0.00612
1689.11121	0.00674
1688.62903	0.00732
1688.14684	0.0077
1687.66465	0.00766
1687.18246	0.00706
1686.70027	0.00614
1686.21808	0.0054
1685.73589	0.00556
1685.2537	0.00714
1684.77151	0.01001
1684.28932	0.01334
1683.80713	0.01624
1683.32494	0.01838
1682.84275	0.01973
1682.36056	0.02043
1681.87837	0.02087
1681.39618	0.02151
1680.91399	0.02259
1680.4318	0.02409
1679.94961	0.02571
1679.46742	0.02712
1678.98523	0.02814
1678.50304	0.02877
1678.02085	0.02912
1677.53866	0.02936
1677.05647	0.02976
1676.57428	0.03073
1676.09209	0.0327
1675.6099	0.03569
1675.12771	0.03906
1674.64552	0.0417
1674.16333	0.0432
1673.68114	0.04398
1673.19895	0.04463
1672.71676	0.04552
1672.23457	0.04679
1671.75238	0.04838
1671.27019	0.05012
1670.788	0.05191
1670.30581	0.05409
1669.82362	0.05716
1669.34143	0.06112
1668.85924	0.06518
1668.37705	0.06856
1667.89486	0.07121
1667.41267	0.07345
1666.93048	0.07557
1666.44829	0.07772
1665.9661	0.07991
1665.48391	0.08209
1665.00172	0.08426
1664.51953	0.08653
1664.03734	0.08918
1663.55515	0.09256
1663.07296	0.09673
1662.59077	0.10127
1662.10858	0.10551
1661.62639	0.1091
1661.1442	0.11225
1660.66201	0.11521
1660.17982	0.11814
1659.69763	0.12108
1659.21544	0.12403
1658.73325	0.12696
1658.25106	0.12975
1657.76887	0.13226
1657.28668	0.13427
1656.80449	0.13558
1656.3223	0.13604
1655.84011	0.13572
1655.35792	0.13499
1654.87573	0.13452
1654.39354	0.1351
1653.91135	0.13739
1653.42916	0.14166
1652.94697	0.14731
1652.46478	0.15236
1651.98259	0.15477
1651.5004	0.15439
1651.01821	0.15242
1650.53602	0.15008
1650.05383	0.14791
1649.57164	0.14603
1649.08945	0.14448
1648.60726	0.14331
1648.12507	0.14253
1647.64288	0.14197
1647.16069	0.14158
1646.6785	0.14167
1646.19631	0.14239
1645.71412	0.14312
1645.23193	0.14276
1644.74974	0.1411
1644.26755	0.13893
1643.78536	0.1369
1643.30317	0.1352
1642.82098	0.13374
1642.33879	0.13235
1641.8566	0.13093
1641.37442	0.12941
1640.89223	0.12781
1640.41004	0.12615
1639.92785	0.12433
1639.44566	0.12225
1638.96347	0.11992
1638.48128	0.11746
1637.99909	0.1149
1637.5169	0.11212
1637.03471	0.10911
1636.55252	0.10652
1636.07033	0.10555
1635.58814	0.10658
1635.10595	0.10807
1634.62376	0.10779
1634.14157	0.10542
1633.65938	0.10222
1633.17719	0.09924
1632.695	0.09679
1632.21281	0.09467
1631.73062	0.0926
1631.24843	0.09038
1630.76624	0.0879
1630.28405	0.08514
1629.80186	0.08213
1629.31967	0.07909
1628.83748	0.07642
1628.35529	0.0745
1627.8731	0.07322
1627.39091	0.07181
1626.90872	0.0695
1626.42653	0.06627
1625.94434	0.06258
1625.46215	0.05873
1624.97996	0.05502
1624.49777	0.05208
1624.01558	0.0505
1623.53339	0.05009
1623.0512	0.04945
1622.56901	0.04739
1622.08682	0.04426
1621.60463	0.04099
1621.12244	0.03809
1620.64025	0.03563
1620.15806	0.03339
1619.67587	0.03113
1619.19368	0.02852
1618.71149	0.02531
1618.2293	0.02181
1617.74711	0.01926
1617.26492	0.01909
1616.78273	0.02118
1616.30054	0.02301
1615.81835	0.02218
1615.33616	0.01954
1614.85397	0.01701
1614.37178	0.01531
1613.88959	0.01418
1613.4074	0.01324
1612.92521	0.01225
1612.44302	0.01119
1611.96083	0.01012
1611.47864	0.00906
1610.99645	0.008
1610.51426	0.00702
1610.03207	0.00633
1609.54988	0.00596
1609.06769	0.00561
1608.5855	0.00495
1608.10331	0.00411
1607.62112	0.0035
1607.13893	0.00325
1606.65674	0.00304
1606.17455	0.00261
1605.69236	0.00193
1605.21017	0.00115
1604.72798	4.20E-04
1604.24579	0
1603.7636	0
1603.28141	1.90E-04
1602.79922	3.80E-04
1602.31703	3.60E-04
1601.83484	1.80E-04
1601.35265	3.00E-05
1600.87046	0
1600.38827	1.00E-05
1599.90608	0
