Full spectra mixtures PL + INH
wavelength	1	2	3	4	5	6	7	8	9	10
190,00	3,850	3,932	3,934	3,782	3,870	3,554	3,445	3,620	3,100	3,852
190,50	3,713	3,771	3,480	3,691	3,728	3,708	3,780	3,611	3,863	3,879
191,00	3,523	3,913	3,874	3,918	3,927	3,623	3,668	3,589	3,758	3,745
191,50	3,823	3,868	3,829	3,784	3,837	3,627	3,886	3,842	3,723	3,738
192,00	3,759	3,916	3,830	3,896	3,791	3,771	3,929	3,718	3,939	3,993
192,50	3,753	3,908	3,761	3,902	3,926	3,606	3,725	3,813	3,778	3,752
193,00	3,941	3,859	3,943	3,847	3,870	4,000	3,952	4,000	3,900	3,924
193,50	3,839	3,874	3,856	3,886	3,944	3,899	3,944	3,926	3,943	3,824
194,00	3,900	3,962	3,963	3,977	3,961	3,977	3,836	3,865	3,879	3,978
194,50	3,840	3,885	3,929	3,963	3,879	3,900	3,922	3,894	3,851	3,810
195,00	3,758	3,909	3,833	3,961	3,996	3,892	3,890	3,932	3,733	3,870
195,50	3,902	4,000	3,878	3,862	3,966	3,898	3,945	3,971	3,943	3,997
196,00	3,899	3,885	3,612	4,000	4,000	3,988	3,931	3,960	3,798	3,858
196,50	3,979	3,926	3,918	3,868	3,925	3,968	3,822	4,000	3,904	3,924
197,00	3,830	3,793	3,886	3,796	3,927	3,912	3,879	3,981	3,889	3,837
197,50	3,955	3,777	3,897	3,965	3,974	3,983	3,929	3,932	3,965	3,908
198,00	3,925	3,898	3,859	4,000	3,913	3,786	3,947	3,848	4,000	3,886
198,50	3,927	3,936	3,876	3,972	3,821	3,993	3,795	3,985	3,999	4,000
199,00	3,875	3,980	3,971	4,000	3,989	3,953	3,931	3,980	3,979	3,989
199,50	3,991	3,975	4,000	3,974	3,991	3,945	4,000	3,891	3,934	3,955
200,00	3,876	3,943	3,935	3,993	3,887	3,946	3,984	3,983	4,000	3,929
200,50	3,963	3,900	3,949	3,908	3,943	3,812	3,849	3,963	3,956	3,970
201,00	3,896	3,989	3,987	3,995	3,983	3,896	4,000	3,958	4,000	3,907
201,50	3,935	3,855	3,936	3,952	3,955	3,897	3,961	3,908	3,988	3,948
202,00	3,889	3,922	3,902	3,942	3,990	3,950	3,958	3,969	3,977	3,998
202,50	3,993	3,870	4,000	3,937	4,000	3,961	4,000	3,985	3,960	3,977
203,00	3,822	3,945	3,995	4,000	3,920	4,000	3,947	3,974	3,986	4,000
203,50	4,000	3,962	3,939	3,951	3,954	3,924	3,969	3,970	3,937	3,995
204,00	3,908	3,996	3,934	3,996	3,988	3,969	3,983	3,988	3,902	4,000
204,50	3,927	3,973	3,952	3,959	4,000	3,990	3,934	3,973	3,973	4,000
205,00	3,896	3,943	3,943	3,940	4,000	3,955	4,000	4,000	3,977	3,959
205,50	3,976	3,928	3,986	3,915	4,000	3,986	3,993	4,000	3,963	4,000
206,00	3,984	3,988	3,934	3,955	3,982	3,962	4,000	4,000	3,994	3,960
206,50	3,947	3,954	3,980	3,972	3,963	3,934	3,975	4,000	3,974	3,976
207,00	3,877	3,952	3,937	3,997	3,941	3,965	3,981	3,937	4,000	3,973
207,50	3,834	3,945	3,938	3,975	3,991	4,000	4,000	3,982	3,970	3,993
208,00	3,879	3,947	3,980	3,985	4,000	3,965	4,000	3,947	4,000	3,948
208,50	3,878	3,980	3,967	3,914	3,999	3,976	3,966	3,979	4,000	3,954
209,00	3,891	3,941	3,924	4,000	3,969	4,000	3,944	4,000	3,945	4,000
209,50	3,720	3,836	3,802	3,948	3,941	3,986	3,964	3,975	3,967	4,000
210,00	3,529	3,669	3,683	3,873	3,807	3,921	3,856	3,997	3,962	3,997
210,50	3,335	3,312	3,454	3,607	3,816	3,833	3,863	3,876	3,937	3,936
211,00	3,092	3,108	3,245	3,383	3,521	3,601	3,732	3,816	3,872	3,927
211,50	2,848	2,908	3,037	3,160	3,284	3,428	3,642	3,706	3,890	3,737
212,00	2,655	2,705	2,838	2,967	3,087	3,202	3,337	3,374	3,518	3,702
212,50	2,472	2,531	2,665	2,792	2,925	3,049	3,169	3,265	3,496	3,652
213,00	2,293	2,362	2,493	2,628	2,769	2,875	3,006	3,121	3,272	3,404
213,50	2,134	2,210	2,340	2,484	2,632	2,750	2,868	3,019	3,163	3,268
214,00	1,984	2,065	2,202	2,348	2,498	2,624	2,756	2,884	3,006	3,147
214,50	1,845	1,931	2,078	2,223	2,380	2,509	2,650	2,770	2,914	3,020
215,00	1,722	1,813	1,959	2,112	2,276	2,410	2,554	2,680	2,832	2,932
215,50	1,610	1,705	1,855	2,015	2,182	2,317	2,465	2,598	2,733	2,844
216,00	1,510	1,608	1,764	1,929	2,097	2,234	2,390	2,523	2,672	2,764
216,50	1,420	1,523	1,682	1,851	2,023	2,165	2,319	2,461	2,600	2,708
217,00	1,341	1,448	1,610	1,782	1,958	2,104	2,262	2,402	2,548	2,650
217,50	1,272	1,382	1,548	1,721	1,900	2,051	2,208	2,350	2,492	2,597
218,00	1,215	1,328	1,496	1,673	1,852	2,003	2,163	2,308	2,451	2,550
218,50	1,168	1,284	1,453	1,631	1,811	1,965	2,127	2,273	2,415	2,514
219,00	1,130	1,247	1,417	1,596	1,778	1,930	2,093	2,235	2,377	2,477
219,50	1,098	1,217	1,387	1,566	1,749	1,900	2,064	2,206	2,351	2,447
220,00	1,075	1,193	1,364	1,543	1,725	1,876	2,041	2,183	2,321	2,420
220,50	1,057	1,177	1,346	1,525	1,707	1,857	2,019	2,161	2,298	2,397
221,00	1,047	1,165	1,334	1,511	1,692	1,841	2,003	2,140	2,282	2,371
221,50	1,040	1,158	1,326	1,502	1,681	1,828	1,990	2,128	2,266	2,360
222,00	1,038	1,155	1,321	1,496	1,673	1,820	1,978	2,115	2,253	2,343
222,50	1,039	1,156	1,320	1,492	1,667	1,811	1,968	2,106	2,239	2,327
223,00	1,042	1,159	1,320	1,491	1,663	1,806	1,961	2,095	2,226	2,316
223,50	1,049	1,164	1,323	1,491	1,660	1,801	1,955	2,090	2,217	2,302
224,00	1,057	1,170	1,327	1,493	1,659	1,799	1,950	2,081	2,209	2,291
224,50	1,066	1,179	1,333	1,496	1,660	1,798	1,946	2,075	2,198	2,283
225,00	1,076	1,187	1,339	1,499	1,661	1,796	1,942	2,070	2,192	2,275
225,50	1,087	1,196	1,346	1,504	1,662	1,796	1,940	2,066	2,187	2,268
226,00	1,099	1,207	1,354	1,509	1,665	1,795	1,939	2,061	2,180	2,260
226,50	1,112	1,218	1,362	1,514	1,666	1,795	1,935	2,056	2,173	2,250
227,00	1,125	1,230	1,371	1,520	1,668	1,796	1,933	2,052	2,166	2,241
227,50	1,139	1,241	1,379	1,525	1,671	1,796	1,931	2,049	2,158	2,232
228,00	1,152	1,253	1,387	1,530	1,673	1,795	1,927	2,042	2,151	2,226
228,50	1,165	1,264	1,395	1,535	1,674	1,794	1,924	2,036	2,145	2,218
229,00	1,177	1,274	1,402	1,539	1,675	1,792	1,919	2,031	2,137	2,208
229,50	1,189	1,283	1,409	1,543	1,676	1,790	1,914	2,024	2,126	2,200
230,00	1,202	1,294	1,415	1,546	1,674	1,787	1,908	2,014	2,115	2,186
230,50	1,214	1,303	1,421	1,548	1,673	1,782	1,901	2,005	2,104	2,171
231,00	1,226	1,312	1,427	1,550	1,671	1,778	1,893	1,995	2,094	2,162
231,50	1,236	1,320	1,431	1,551	1,669	1,773	1,886	1,985	2,080	2,146
232,00	1,247	1,328	1,435	1,551	1,665	1,767	1,876	1,973	2,066	2,130
232,50	1,257	1,335	1,438	1,551	1,661	1,758	1,866	1,958	2,051	2,114
233,00	1,267	1,341	1,441	1,550	1,656	1,751	1,854	1,948	2,035	2,096
233,50	1,275	1,346	1,442	1,547	1,651	1,742	1,843	1,933	2,020	2,081
234,00	1,283	1,351	1,443	1,544	1,644	1,733	1,830	1,917	2,003	2,061
234,50	1,290	1,355	1,443	1,540	1,636	1,722	1,817	1,901	1,985	2,042
235,00	1,296	1,358	1,443	1,537	1,630	1,712	1,804	1,885	1,969	2,022
235,50	1,301	1,360	1,441	1,532	1,621	1,702	1,790	1,869	1,949	2,003
