tot,tot
Mc,D
0.01,1.00E-20
0.01,0.000843434
0.01,0.002096059
0.01,0.003743256
0.01,0.0057662
0.01,0.007991223
0.01,0.011143579
0.01,0.015825756
0.01,0.025026777
0.01,0.035494477
0.01,0.047119623
0.01,0.06116757
0.01,0.077354463
0.01,0.096626269
0.01,0.103839169
0.01,0.121651896
0.01,0.156363877
0.01,0.212727601
0.01,0.295984405
0.01,0.412177209
0.01,0.55936382
0.01,0.643066075
0.01,0.758361718
0.01,0.919361122
0.01,1.153019347
0.01,1.479708162
0.01,1.937072503
0.01,2.564315028
0.01,3.973482058
0.01,6.077090207
0.01,8.071135431
0.01,10.33105335
0.01,12.91381669
