data;particle;signal;1;2;3;4;5;6;7;8
observation;L;CH;8,518;8,54;8,55;8,57;8,593;8,615;8,638;8,646
observation;L;H6;7,609;7,624;7,625;7,631;7,637;7,641;7,645;7,643
observation;L;H3;6,849;6,872;6,885;6,901;6,934;6,961;6,99;7,008
observation;L;H4;6,443;6,461;6,459;6,467;6,474;6,48;6,486;6,483
observation;L;H5;7,466;7,487;7,49;7,501;7,512;7,522;7,533;7,535
observation;L;Men;4,862;4,871;4,864;4,858;4,849;4,836;4,825;4,811
observation;L;Me;2,218;2,236;2,241;2,253;2,268;2,281;2,297;2,301
deviation;L;CH;0,005;0,005;0,005;0,005;0,005;0,005;0,005;0,005
deviation;L;H6;0,005;0,005;0,005;0,005;0,005;0,005;0,005;0,005
deviation;L;H3;0,005;0,005;0,005;0,005;0,005;0,005;0,005;0,005
deviation;L;H4;0,005;0,005;0,005;0,005;0,005;0,005;0,005;0,005
deviation;L;H5;0,005;0,005;0,005;0,005;0,005;0,005;0,005;0,005
deviation;L;Men;0,005;0,005;0,005;0,005;0,005;0,005;0,005;0,005
deviation;L;Me;0,005;0,005;0,005;0,005;0,005;0,005;0,005;0,005
