data;wavelength;1;2;3;4;5;6;7;8;9;10
observation;200;3,059;2,119;3,812;1,006;2,227;3,527;2,058;3,788;3,331;3,5
observation;200,5;2,181;3,274;3,236;2,909;2,866;3,372;2,897;3,441;3,116;3
observation;201;3,367;2,817;3,246;2,274;3,151;3,428;3,409;3,418;3,139;3,045
observation;201,5;3,428;3,584;3,512;2,976;3,45;3,72;3,635;2,988;3,451;3,509
observation;202;3,539;3,356;3,458;2,902;3,855;3,289;2,687;3,522;2,77;3,218
observation;202,5;3,929;3,072;3,545;2,685;3,515;3,478;3,598;3,611;2,891;3,869
observation;203;3,413;3,029;3,358;3,158;3,372;3,592;3,156;3,815;2,973;3,518
observation;203,5;3,366;3,449;3,861;3,282;3,56;3,678;3,491;3,861;4;3,603
observation;204;3,14;3,647;3,638;3,639;3,585;3,812;3,491;3,632;3,547;3,637
observation;204,5;3,156;3,546;3,73;3,703;3,712;3,689;3,834;3,801;3,468;3,666
observation;205;3,363;3,637;3,549;3,724;3,785;3,554;3,748;3,471;3,857;3,805
observation;205,5;3,46;3,82;3,586;3,683;3,858;3,807;3,854;3,91;3,816;4
observation;206;3,715;3,771;3,813;3,964;3,922;3,842;3,823;3,859;3,776;3,949
observation;206,5;3,694;3,559;3,912;3,702;3,874;3,812;3,95;3,946;3,858;3,972
observation;207;3,849;3,733;3,749;3,715;3,741;3,844;3,875;3,561;3,839;3,974
observation;207,5;3,831;3,879;3,96;3,719;3,915;3,95;3,739;3,924;3,866;3,909
observation;208;3,915;3,802;3,935;3,768;3,946;3,943;3,863;3,988;3,888;3,878
observation;208,5;3,832;3,92;3,933;3,876;3,94;3,928;3,963;3,966;3,984;3,964
observation;209;3,825;3,975;4;4;3,976;3,968;3,927;4;3,915;3,95
observation;209,5;3,855;3,901;3,886;3,931;3,974;3,967;4;3,905;3,955;3,994
observation;210;3,927;3,888;3,977;3,873;3,975;3,978;4;3,99;3,929;3,983
observation;210,5;3,853;3,937;3,974;3,942;3,921;3,975;3,951;3,967;3,922;3,993
observation;211;3,927;3,967;3,99;3,922;3,966;3,977;3,995;3,987;3,966;3,967
observation;211,5;3,97;3,94;3,971;3,907;3,954;4;3,944;3,971;3,871;3,945
observation;212;3,888;3,97;3,973;3,904;3,965;3,974;3,965;3,987;3,975;3,972
observation;212,5;3,904;3,928;3,965;3,977;4;3,99;3,969;3,984;3,96;3,994
observation;213;3,837;3,966;3,982;3,968;3,982;4;3,982;3,982;3,982;4
observation;213,5;3,889;3,976;3,865;3,993;4;3,976;4;4;3,968;3,992
observation;214;3,934;3,975;4;3,975;3,972;4;3,998;4;3,986;3,999
observation;214,5;3,913;3,976;3,99;3,99;3,972;3,972;4;4;4;4
observation;215;3,976;3,995;3,969;4;3,996;3,986;4;3,996;3,991;4
observation;215,5;3,963;3,981;3,997;3,976;3,973;3,988;3,965;3,988;3,969;4
observation;216;3,968;3,936;3,997;3,982;4;3,985;3,981;3,997;4;3,997
observation;216,5;3,934;3,992;3,993;4;4;3,989;4;3,994;3,998;3,982
observation;217;3,891;3,98;3,989;3,99;4;3,945;4;4;3,995;4
observation;217,5;3,841;3,995;3,931;3,995;3,967;4;4;4;3,968;3,991
observation;218;3,81;3,991;3,958;3,984;4;4;3,996;4;4;3,98
observation;218,5;3,834;3,985;3,915;3,984;3,992;3,992;3,959;3,976;3,963;4
observation;219;3,691;3,94;3,931;3,953;3,992;3,985;3,989;3,984;3,979;3,997
observation;219,5;3,605;3,844;3,87;3,918;3,997;4;3,993;3,997;4;4
observation;220;3,458;3,895;3,892;3,923;4;3,99;4;3,991;3,945;4
observation;220,5;3,364;3,817;3,888;3,971;3,981;3,961;3,978;3,998;3,998;3,987
observation;221;3,349;3,756;3,891;3,946;3,979;3,969;3,978;4;3,987;4
observation;221,5;3,29;3,775;3,898;3,935;3,986;3,976;3,987;3,987;3,978;3,986
observation;222;3,283;3,758;3,834;3,936;3,962;3,994;3,995;4;3,978;4
observation;222,5;3,25;3,691;3,848;3,955;3,859;3,984;4;3,975;4;4
observation;223;3,209;3,744;3,802;3,945;3,947;3,968;3,977;4;3,977;4
observation;223,5;3,138;3,756;3,8;3,856;4;3,989;4;3,986;3,983;4
observation;224;3,068;3,594;3,771;3,883;3,945;3,972;3,978;3,973;3,986;4
observation;224,5;2,958;3,595;3,682;3,783;3,983;3,997;3,968;3,983;3,973;4
observation;225;2,927;3,67;3,757;3,875;3,967;3,969;3,965;3,984;3,99;4
observation;225,5;2,849;3,581;3,701;3,852;4;3,98;3,975;3,987;4;3,995
observation;226;2,783;3,594;3,793;3,868;3,927;3,978;3,997;3,998;3,963;3,998
observation;226,5;2,737;3,631;3,764;3,808;3,964;3,961;3,998;3,976;3,973;3,991
observation;227;2,656;3,604;3,742;3,806;3,973;3,946;3,974;3,998;3,991;3,982
observation;227,5;2,571;3,59;3,748;3,849;3,97;3,966;3,947;3,996;3,991;4
observation;228;2,497;3,54;3,671;3,794;3,926;3,976;3,964;3,958;4;3,993
observation;228,5;2,413;3,529;3,664;3,885;3,92;3,968;3,957;3,94;3,973;4
observation;229;2,329;3,541;3,724;3,898;3,907;3,946;3,96;3,999;3,992;4
observation;229,5;2,247;3,494;3,643;3,761;3,88;3,951;3,96;3,989;3,946;3,996
observation;230;2,154;3,453;3,605;3,752;3,848;3,978;3,982;3,992;3,959;4
observation;230,5;2,057;3,417;3,669;3,797;3,896;4;3,987;3,986;3,986;3,973
observation;231;1,966;3,374;3,65;3,778;3,901;3,957;3,965;3,993;3,987;3,965
observation;231,5;1,878;3,26;3,769;3,853;3,922;3,907;4;3,974;3,997;4
observation;232;1,789;3,126;3,711;3,866;3,958;3,972;3,978;4;4;4
observation;232,5;1,699;3,013;3,54;3,786;4;3,991;3,946;3,982;4;4
observation;233;1,61;2,86;3,514;3,864;3,959;3,971;3,991;3,96;4;4
observation;233,5;1,528;2,704;3,369;3,869;3,885;3,977;3,991;3,988;4;4
observation;234;1,44;2,54;3,226;3,856;3,911;3,916;3,959;3,977;3,992;4
observation;234,5;1,357;2,381;3,052;3,768;3,991;3,993;3,994;3,989;4;4
observation;235;1,283;2,239;2,886;3,683;3,956;3,983;4;3,998;4;3,986
observation;235,5;1,204;2,084;2,697;3,521;3,962;3,994;3,972;3,991;3,984;4
observation;236;1,131;1,937;2,499;3,311;3,93;3,954;3,974;3,995;3,998;4
observation;236,5;1,061;1,8;2,315;3,114;3,748;3,998;4;3,998;3,996;4
observation;237;0,989;1,658;2,126;2,847;3,482;3,91;4;3,954;4;3,995
