data;wavelength;1;2;3;4;5;6;7;8;9;10
observation;190;3,85;3,932;3,934;3,782;3,87;3,554;3,445;3,62;3,1;3,852
observation;190,5;3,713;3,771;3,48;3,691;3,728;3,708;3,78;3,611;3,863;3,879
observation;191;3,523;3,913;3,874;3,918;3,927;3,623;3,668;3,589;3,758;3,745
observation;191,5;3,823;3,868;3,829;3,784;3,837;3,627;3,886;3,842;3,723;3,738
observation;192;3,759;3,916;3,83;3,896;3,791;3,771;3,929;3,718;3,939;3,993
observation;192,5;3,753;3,908;3,761;3,902;3,926;3,606;3,725;3,813;3,778;3,752
observation;193;3,941;3,859;3,943;3,847;3,87;4;3,952;4;3,9;3,924
observation;193,5;3,839;3,874;3,856;3,886;3,944;3,899;3,944;3,926;3,943;3,824
observation;194;3,9;3,962;3,963;3,977;3,961;3,977;3,836;3,865;3,879;3,978
observation;194,5;3,84;3,885;3,929;3,963;3,879;3,9;3,922;3,894;3,851;3,81
observation;195;3,758;3,909;3,833;3,961;3,996;3,892;3,89;3,932;3,733;3,87
observation;195,5;3,902;4;3,878;3,862;3,966;3,898;3,945;3,971;3,943;3,997
observation;196;3,899;3,885;3,612;4;4;3,988;3,931;3,96;3,798;3,858
observation;196,5;3,979;3,926;3,918;3,868;3,925;3,968;3,822;4;3,904;3,924
observation;197;3,83;3,793;3,886;3,796;3,927;3,912;3,879;3,981;3,889;3,837
observation;197,5;3,955;3,777;3,897;3,965;3,974;3,983;3,929;3,932;3,965;3,908
observation;198;3,925;3,898;3,859;4;3,913;3,786;3,947;3,848;4;3,886
observation;198,5;3,927;3,936;3,876;3,972;3,821;3,993;3,795;3,985;3,999;4
observation;199;3,875;3,98;3,971;4;3,989;3,953;3,931;3,98;3,979;3,989
observation;199,5;3,991;3,975;4;3,974;3,991;3,945;4;3,891;3,934;3,955
observation;200;3,876;3,943;3,935;3,993;3,887;3,946;3,984;3,983;4;3,929
observation;200,5;3,963;3,9;3,949;3,908;3,943;3,812;3,849;3,963;3,956;3,97
observation;201;3,896;3,989;3,987;3,995;3,983;3,896;4;3,958;4;3,907
observation;201,5;3,935;3,855;3,936;3,952;3,955;3,897;3,961;3,908;3,988;3,948
observation;202;3,889;3,922;3,902;3,942;3,99;3,95;3,958;3,969;3,977;3,998
observation;202,5;3,993;3,87;4;3,937;4;3,961;4;3,985;3,96;3,977
observation;203;3,822;3,945;3,995;4;3,92;4;3,947;3,974;3,986;4
observation;203,5;4;3,962;3,939;3,951;3,954;3,924;3,969;3,97;3,937;3,995
observation;204;3,908;3,996;3,934;3,996;3,988;3,969;3,983;3,988;3,902;4
observation;204,5;3,927;3,973;3,952;3,959;4;3,99;3,934;3,973;3,973;4
observation;205;3,896;3,943;3,943;3,94;4;3,955;4;4;3,977;3,959
observation;205,5;3,976;3,928;3,986;3,915;4;3,986;3,993;4;3,963;4
observation;206;3,984;3,988;3,934;3,955;3,982;3,962;4;4;3,994;3,96
observation;206,5;3,947;3,954;3,98;3,972;3,963;3,934;3,975;4;3,974;3,976
observation;207;3,877;3,952;3,937;3,997;3,941;3,965;3,981;3,937;4;3,973
observation;207,5;3,834;3,945;3,938;3,975;3,991;4;4;3,982;3,97;3,993
observation;208;3,879;3,947;3,98;3,985;4;3,965;4;3,947;4;3,948
observation;208,5;3,878;3,98;3,967;3,914;3,999;3,976;3,966;3,979;4;3,954
observation;209;3,891;3,941;3,924;4;3,969;4;3,944;4;3,945;4
observation;209,5;3,72;3,836;3,802;3,948;3,941;3,986;3,964;3,975;3,967;4
observation;210;3,529;3,669;3,683;3,873;3,807;3,921;3,856;3,997;3,962;3,997
observation;210,5;3,335;3,312;3,454;3,607;3,816;3,833;3,863;3,876;3,937;3,936
observation;211;3,092;3,108;3,245;3,383;3,521;3,601;3,732;3,816;3,872;3,927
observation;211,5;2,848;2,908;3,037;3,16;3,284;3,428;3,642;3,706;3,89;3,737
observation;212;2,655;2,705;2,838;2,967;3,087;3,202;3,337;3,374;3,518;3,702
observation;212,5;2,472;2,531;2,665;2,792;2,925;3,049;3,169;3,265;3,496;3,652
observation;213;2,293;2,362;2,493;2,628;2,769;2,875;3,006;3,121;3,272;3,404
observation;213,5;2,134;2,21;2,34;2,484;2,632;2,75;2,868;3,019;3,163;3,268
observation;214;1,984;2,065;2,202;2,348;2,498;2,624;2,756;2,884;3,006;3,147
observation;214,5;1,845;1,931;2,078;2,223;2,38;2,509;2,65;2,77;2,914;3,02
observation;215;1,722;1,813;1,959;2,112;2,276;2,41;2,554;2,68;2,832;2,932
observation;215,5;1,61;1,705;1,855;2,015;2,182;2,317;2,465;2,598;2,733;2,844
observation;216;1,51;1,608;1,764;1,929;2,097;2,234;2,39;2,523;2,672;2,764
observation;216,5;1,42;1,523;1,682;1,851;2,023;2,165;2,319;2,461;2,6;2,708
observation;217;1,341;1,448;1,61;1,782;1,958;2,104;2,262;2,402;2,548;2,65
observation;217,5;1,272;1,382;1,548;1,721;1,9;2,051;2,208;2,35;2,492;2,597
observation;218;1,215;1,328;1,496;1,673;1,852;2,003;2,163;2,308;2,451;2,55
observation;218,5;1,168;1,284;1,453;1,631;1,811;1,965;2,127;2,273;2,415;2,514
observation;219;1,13;1,247;1,417;1,596;1,778;1,93;2,093;2,235;2,377;2,477
observation;219,5;1,098;1,217;1,387;1,566;1,749;1,9;2,064;2,206;2,351;2,447
observation;220;1,075;1,193;1,364;1,543;1,725;1,876;2,041;2,183;2,321;2,42
observation;220,5;1,057;1,177;1,346;1,525;1,707;1,857;2,019;2,161;2,298;2,397
observation;221;1,047;1,165;1,334;1,511;1,692;1,841;2,003;2,14;2,282;2,371
observation;221,5;1,04;1,158;1,326;1,502;1,681;1,828;1,99;2,128;2,266;2,36
observation;222;1,038;1,155;1,321;1,496;1,673;1,82;1,978;2,115;2,253;2,343
observation;222,5;1,039;1,156;1,32;1,492;1,667;1,811;1,968;2,106;2,239;2,327
observation;223;1,042;1,159;1,32;1,491;1,663;1,806;1,961;2,095;2,226;2,316
observation;223,5;1,049;1,164;1,323;1,491;1,66;1,801;1,955;2,09;2,217;2,302
observation;224;1,057;1,17;1,327;1,493;1,659;1,799;1,95;2,081;2,209;2,291
observation;224,5;1,066;1,179;1,333;1,496;1,66;1,798;1,946;2,075;2,198;2,283
observation;225;1,076;1,187;1,339;1,499;1,661;1,796;1,942;2,07;2,192;2,275
