"data";"wavelength";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10"
"observation";190;1,462;0,672;3,494;2,881;1,759;1,309;3,709;1,287;1,613;2,047
"observation";190,5;1,812;2,643;2,249;2,103;1,709;1,716;2,089;3,009;2,646;2,038
"observation";191;1,899;1,394;1,112;2,331;3,148;2,597;0,942;2,123;1,527;2,852
"observation";191,5;1,678;2,039;2,283;1,779;3,163;1,794;1,299;1,987;1,781;2,879
"observation";192;1,335;1,746;1,079;1,573;2,126;1,719;2,093;2,347;1,742;2,195
"observation";192,5;1,153;1,354;2,568;2,025;2,105;2,688;2,626;2,51;2,343;2,18
"observation";193;1,336;1,507;1,423;1,213;2,594;2,775;1,789;2,251;3,137;2,556
"observation";193,5;2,326;1,74;1,993;1,907;2,626;1,797;1,718;2,038;3,227;2,313
"observation";194;1,536;0,97;1,813;1,805;2,059;2,072;2,802;1,64;2,989;2,872
"observation";194,5;1,662;2,169;1,414;2,897;1,601;1,731;2,3;2,266;2,619;2,144
"observation";195;1,29;1,398;3,425;2,247;2,661;2,088;1,952;1,109;2,102;2,179
"observation";195,5;2,295;1,138;2,621;1,16;2,038;2,286;2,985;1,842;2,642;2,358
"observation";196;1,483;1,928;2,413;2,975;1,818;3,213;1,511;2,328;2,087;2,685
"observation";196,5;1,697;1,548;2,627;2,364;1,93;1,789;2,316;1,548;2,791;1,87
"observation";197;1,303;1,62;1,335;2,946;2,224;3,465;1,776;1,942;2,955;2,986
"observation";197,5;1,708;1,54;1,781;2,759;1,488;2,622;2,074;1,936;2,633;2,027
"observation";198;1,61;1,832;2,743;2,258;2,337;2,513;2,543;0,821;1,557;2,94
"observation";198,5;1,122;2,369;1,795;1,691;1,968;1,412;2,229;1,886;2,112;2,162
"observation";199;1,423;1,224;2,016;1,419;2,116;2,171;1,808;2,387;2,457;1,513
"observation";199,5;1,36;1,169;1,715;1,56;1,164;2,494;1,726;2,535;1,986;2,804
"observation";200;1,084;1,378;1,539;1,526;2,394;2,657;2,664;2,383;2,836;2,62
"observation";200,5;1,422;1,542;1,438;2,147;2,359;1,976;1,763;2,068;2,983;2,608
"observation";201;1,129;1,281;1,914;1,675;3,035;2,209;2,735;1,998;2,722;2,235
"observation";201,5;1,186;1,312;1,56;1,744;2,098;2,52;2,516;2,271;2,262;2,718
"observation";202;1,219;1,354;1,593;1,819;1,959;2,252;2,524;3,014;2,785;2,861
"observation";202,5;1,199;1,344;1,562;1,808;1,992;2,345;2,424;2,694;2,638;2,696
"observation";203;1,207;1,363;1,589;1,784;1,994;2,282;2,771;2,361;2,705;2,998
"observation";203,5;1,206;1,379;1,591;1,801;2,01;2,223;2,4;2,53;3,118;3,074
"observation";204;1,216;1,38;1,581;1,821;1,997;2,203;2,422;2,68;2,982;3,025
"observation";204,5;1,226;1,385;1,602;1,813;1,995;2,202;2,383;2,582;2,829;2,92
"observation";205;1,235;1,394;1,604;1,824;2,021;2,193;2,389;2,617;2,721;2,848
"observation";205,5;1,248;1,403;1,609;1,82;2,006;2,202;2,39;2,579;2,762;2,868
"observation";206;1,258;1,41;1,606;1,821;1,998;2,187;2,394;2,575;2,704;2,85
"observation";206,5;1,27;1,42;1,613;1,815;1,999;2,173;2,364;2,548;2,7;2,887
"observation";207;1,284;1,432;1,62;1,813;1,991;2,164;2,356;2,511;2,704;2,83
"observation";207,5;1,3;1,441;1,622;1,813;1,989;2,16;2,345;2,526;2,663;2,798
"observation";208;1,317;1,454;1,629;1,813;1,984;2,149;2,332;2,497;2,661;2,802
"observation";208,5;1,333;1,465;1,633;1,814;1,971;2,135;2,309;2,477;2,612;2,767
"observation";209;1,349;1,476;1,641;1,813;1,969;2,123;2,299;2,458;2,601;2,745
"observation";209,5;1,368;1,491;1,647;1,818;1,966;2,121;2,282;2,443;2,587;2,721
