wavelength	2MF3H	2MF3H_adj.r.squared	PLP	PLP_adj.r.squared
190	13409.72222	-0.174309694	6656	0.419347191
190.5	20111.11111	0.695758081	6826	0.233609312
191	18694.44444	0.948223876	9726	0.393250077
191.5	16166.66667	0.959953001	10334	0.941262765
192	11538.19444	0.143200127	13184	0.750930708
192.5	10611.11111	-0.118390642	3888	0.315730065
193	16541.66667	0.549601261	6930	0.767526343
193.5	26166.66667	0.896376798	7064	0.865942351
194	22506.94444	0.566991278	12970	0.829523752
194.5	13472.22222	0.603712277	14080	0.513073873
195	18159.72222	0.549295148	10336	0.7569341
195.5	26729.16667	0.513819172	9944	0.6476133
196	17920.13889	0.905128043	10674	0.911674076
196.5	10875	0.234425228	18172	0.800003905
197	14034.72222	0.946963735	15254	0.853324398
197.5	11392.36111	0.697734366	9610	0.941844782
198	11010.41667	0.776718195	3704	0.260474893
198.5	15680.55556	0.918131044	15380	0.837882878
199	14559.02778	0.763329636	9862	0.994286197
199.5	8111.111111	0.998132035	7590	0.785508289
200	8399.305556	0.997580453	5708	0.863144589
200.5	9496.527778	0.996824347	5526	0.851924511
201	9111.111111	0.999145632	4588	0.877418353
201.5	9138.888889	0.999057385	4582	0.811939567
202	9420.138889	0.998874679	4458	0.834412688
202.5	9319.444444	0.999428857	4546	0.842910155
203	9322.916667	0.999344876	4556	0.836149505
203.5	9434.027778	0.999210802	4728	0.83224373
204	9392.361111	0.999379103	4816	0.841938828
204.5	9399.305556	0.99928676	4958	0.847563267
205	9381.944444	0.99932312	5062	0.853704749
205.5	9368.055556	0.999349936	5200	0.860394541
206	9347.222222	0.999396671	5346	0.867961057
206.5	9309.027778	0.9993963	5480	0.875401211
207	9288.194444	0.999365104	5628	0.884379611
207.5	9260.416667	0.999416919	5810	0.892202381
208	9211.805556	0.999351128	5982	0.90095761
208.5	9177.083333	0.999346211	6162	0.908100052
209	9118.055556	0.999394665	6332	0.915228785
209.5	9069.444444	0.999411887	6520	0.922805734
210	9006.944444	0.999446468	6724	0.929708165
210.5	8940.972222	0.999450479	6932	0.936295451
211	8878.472222	0.999393202	7148	0.942869773
211.5	8798.611111	0.999419955	7356	0.948777949
212	8725.694444	0.999485701	7566	0.954759902
212.5	8635.416667	0.999455508	7786	0.95971986
213	8552.083333	0.999464615	8018	0.964359357
213.5	8447.916667	0.999451336	8238	0.968320206
214	8357.638889	0.999418727	8462	0.972050114
214.5	8260.416667	0.999445223	8676	0.975329746
215	8156.25	0.999430967	8896	0.978170712
215.5	8041.666667	0.999456558	9116	0.980719552
216	7934.027778	0.99941703	9302	0.98332248
216.5	7819.444444	0.99944534	9500	0.985482597
217	7704.861111	0.999471953	9704	0.987350582
217.5	7576.388889	0.999409196	9890	0.988812456
218	7468.75	0.999476927	10064	0.990269148
218.5	7343.75	0.99944021	10216	0.991506785
219	7239.583333	0.999423992	10350	0.992800943
219.5	7111.111111	0.999472327	10492	0.993643234
220	6993.055556	0.999473583	10624	0.994544769
220.5	6868.055556	0.999434332	10754	0.995200506
221	6763.888889	0.999535286	10832	0.99596575
221.5	6656.25	0.999491586	10926	0.9965257
222	6555.555556	0.999505289	11018	0.996809308
222.5	6461.805556	0.999439765	11084	0.997206013
223	6354.166667	0.999516415	11106	0.997584986
223.5	6263.888889	0.999482114	11124	0.997906523
224	6180.555556	0.999488875	11146	0.998170551
224.5	6090.277778	0.999452178	11156	0.998326294
225	6020.833333	0.999439472	11142	0.998498703
225.5	5951.388889	0.99942632	11106	0.998650545
226	5888.888889	0.99945577	11092	0.998803028
226.5	5833.333333	0.999564327	11076	0.998942559
227	5788.194444	0.99947875	11036	0.999037216
227.5	5763.888889	0.999553769	11012	0.999129481
228	5729.166667	0.999548345	10972	0.999298379
228.5	5718.75	0.999598649	10952	0.999295815
229	5704.861111	0.999618908	10922	0.999349733
229.5	5704.861111	0.999618908	10888	0.999409892
230	5715.277778	0.999566068	10842	0.999482913
230.5	5725.694444	0.999639319	10792	0.99953011
231	5750	0.999691567	10750	0.999562442
231.5	5760.416667	0.999643653	10702	0.999571913
232	5795.138889	0.999647909	10628	0.999616368
232.5	5819.444444	0.999698883	10546	0.999669587
233	5840.277778	0.999715867	10446	0.999663232
233.5	5868.055556	0.999684951	10350	0.999682487
234	5899.305556	0.999660231	10230	0.999674996
234.5	5934.027778	0.999664195	10090	0.999665916
235	5968.75	0.999769576	9944	0.999688424
235.5	5989.583333	0.99978327	9774	0.999698211
236	6017.361111	0.999757305	9580	0.999678418
236.5	6038.194444	0.999774844	9360	0.999691878
237	6062.5	0.999722539	9106	0.999666786
237.5	6083.333333	0.999826051	8852	0.999638362
238	6107.638889	0.999779935	8564	0.999629009
238.5	6118.055556	0.999828019	8272	0.999585886
239	6138.888889	0.99983878	7960	0.999534247
239.5	6142.361111	0.999782415	7628	0.999471815
240	6142.361111	0.999782415	7306	0.999482434
240.5	6142.361111	0.999782415	6974	0.999407348
241	6142.361111	0.99985909	6654	0.999349
241.5	6131.944444	0.999815334	6328	0.999232629
242	6104.166667	0.999836941	6030	0.999137481
242.5	6083.333333	0.999826051	5722	0.999081723
243	6059.027778	0.999867008	5454	0.999111805
243.5	6024.305556	0.999865471	5202	0.998977668
244	5989.583333	0.999863906	4966	0.998977388
244.5	5944.444444	0.999817828	4752	0.998958101
245	5895.833333	0.999825215	4566	0.998790521
245.5	5840.277778	0.999811273	4392	0.998780442
246	5781.25	0.999853922	4244	0.998756496
246.5	5725.694444	0.999837838	4112	0.998608859
247	5656.25	0.999833832	3998	0.998629632
247.5	5572.916667	0.999842798	3886	0.998473444
248	5493.055556	0.999786663	3790	0.998551952
248.5	5399.305556	0.999832527	3704	0.998516296
249	5305.555556	0.999784165	3618	0.998473357
249.5	5201.388889	0.999775435	3544	0.998379451
250	5097.222222	0.999766164	3470	0.998431991
250.5	4996.527778	0.999787061	3396	0.998328726
251	4878.472222	0.999794863	3330	0.998297527
251.5	4760.416667	0.999797329	3270	0.998234552
252	4649.305556	0.999754073	3202	0.998261615
252.5	4520.833333	0.99968506	3138	0.997971275
253	4381.944444	0.999664783	3070	0.997997351
253.5	4253.472222	0.999730161	3002	0.998022584
254	4114.583333	0.99971164	2942	0.997941218
254.5	3975.694444	0.999691145	2868	0.998001068
255	3836.805556	0.999668385	2802	0.997730666
255.5	3697.916667	0.999643013	2734	0.997750996
256	3559.027778	0.999614614	2668	0.997690624
256.5	3420.138889	0.999582687	2594	0.997502099
257	3281.25	0.999546622	2528	0.997428207
257.5	3142.361111	0.999505673	2454	0.997487492
258	2993.055556	0.999281679	2380	0.997272112
258.5	2843.75	0.999342826	2308	0.996915606
259	2729.166667	0.999068233	2232	0.997086258
259.5	2586.805556	0.999270658	2168	0.996505349
260	2458.333333	0.998995215	2094	0.996170207
260.5	2312.5	0.998702527	2028	0.996007527
261	2184.027778	0.998886181	1952	0.99619267
261.5	2065.972222	0.998856885	1886	0.995549925
262	1937.5	0.998383061	1824	0.995906573
262.5	1826.388889	0.997921028	1772	0.995382388
263	1722.222222	0.997662338	1712	0.995054138
263.5	1614.583333	0.998129287	1660	0.994403309
264	1500	0.99714408	1604	0.994710913
264.5	1395.833333	0.99670289	1558	0.99386052
265	1291.666667	0.996151074	1518	0.993534114
265.5	1201.388889	0.995203997	1476	0.994140239
266	1118.055556	0.994867359	1436	0.993810609
266.5	1027.777778	0.993454545	1398	0.992382329
267	944.4444444	0.992816788	1364	0.992695764
267.5	875	0.991637958	1336	0.992853957
268	805.5555556	0.990143965	1308	0.993004747
268.5	736.1111111	0.988211921	1282	0.991960687
269	670.1388889	0.980681065	1254	0.99208279
269.5	621.5277778	0.97904293	1234	0.991825485
270	562.5	0.979924812	1212	0.992829268
270.5	503.4722222	0.969937078	1200	0.992207362
271	468.75	0.965424819	1180	0.991942397
271.5	423.6111111	0.947859922	1164	0.992702274
272	375	0.936453202	1152	0.992066919
272.5	340.2777778	0.923517787	1132	0.99178567
273	305.5555556	0.9062954	1124	0.992176378
273.5	281.25	0.871637631	1112	0.991489225
274	250	0.859440559	1098	0.9908295
274.5	225.6944444	0.805355304	1084	0.991591632
275	201.3888889	0.730731707	1078	0.991917013
275.5	177.0833333	0.713530327	1064	0.991274413
276	166.6666667	0.725531915	1056	0.991674395
276.5	142.3611111	0.59869281	1044	0.990938936
277	131.9444444	0.605102041	1030	0.991732128
