"data"	"volumes"	"observation"	"dilution"	"deviation"	"heats"
1	15.024977	0.073663	0	1e-06	0.073663
2	15.049954	0.074034	0	1e-06	0.074034
3	15.074931	0.074881	0	1e-06	0.074881
4	15.099908	0.073269	0	1e-06	0.073269
5	15.124885	0.074992	0	1e-06	0.074992
6	15.149862	0.074682	0	1e-06	0.074682
7	15.174839	0.071711	0	1e-06	0.071711
8	15.199816	0.064867	0	1e-06	0.064867
9	15.224793	0.041674	0	1e-06	0.041674
10	15.24977	0.019753	0	1e-06	0.019753
11	15.274747	0.006833	0	1e-06	0.006833
12	15.299724	0.001445	0	1e-06	0.001445
13	15.324701	0.001989	0	1e-06	0.001989
14	15.349678	0.001794	0	1e-06	0.001794
15	15.374655	-0.00681	0	1e-06	-0.00681
16	15.399632	0.000303	0	1e-06	0.000303
17	15.424609	0.00011	0	1e-06	0.00011
