"data","volumes","observation","dilution","deviation","heats","heats.calculated","res.abs","res.rel"
1,0.004,0.000328,0,1e-09,0.000328,0.000354517132547388,2.65171325473881e-05,0.0808449163030126
2,0.004,0.000338,0,1e-09,0.000338,0.000353911722181248,1.59117221812476e-05,0.0470761011279515
3,0.004,0.00034,0,1e-09,0.00034,0.000353241010310033,1.32410103100327e-05,0.0389441479706843
4,0.004,0.000342,0,1e-09,0.000342,0.000352502106784869,1.05021067848689e-05,0.03070791457564
5,0.004,0.00034,0,1e-09,0.00034,0.000351688019248467,1.16880192484668e-05,0.0343765272013729
6,0.004,0.000344,0,1e-09,0.000344,0.000350789524798303,6.78952479830252e-06,0.0197369906927399
7,0.004,0.000341,0,1e-09,0.000341,0.000349795463312544,8.79546331254423e-06,0.025793147544118
8,0.004,0.000341,0,1e-09,0.000341,0.000348692610700375,7.6926107003751e-06,0.022558975660924
9,0.004,0.000344,0,1e-09,0.000344,0.000347465375190602,3.46537519060164e-06,0.0100737650889583
10,0.004,0.000342,0,1e-09,0.000342,0.00034609537367264,4.09537367264021e-06,0.0119747768205854
11,0.004,0.00034,0,1e-09,0.00034,0.000344560895446373,4.56089544637343e-06,0.0134143983716866
12,0.004,0.000342,0,1e-09,0.000342,0.000342836243333047,8.36243333047441e-07,0.00244515594458316
13,0.004,0.000342,0,1e-09,0.000342,0.000340890935069861,-1.10906493013864e-06,-0.00324287991268607
14,0.004,0.000341,0,1e-09,0.000341,0.000338688745595913,-2.31125440408662e-06,-0.00677787215274669
15,0.004,0.00034,0,1e-09,0.00034,0.000336186572858434,-3.81342714156612e-06,-0.0112159621810768
16,0.004,0.000344,0,1e-09,0.000344,0.000333333118801987,-1.06668811980128e-05,-0.0310083755756187
17,0.004,0.000341,0,1e-09,0.000341,0.000330067397509051,-1.09326024909492e-05,-0.032060417862021
18,0.004,0.000335,0,1e-09,0.000335,0.000326317122162636,-8.68287783736409e-06,-0.0259190383204898
19,0.004,0.000329,0,1e-09,0.000329,0.000321997093749742,-7.00290625025793e-06,-0.021285429332091
20,0.004,0.000326,0,1e-09,0.000326,0.000317007833764549,-8.99216623545084e-06,-0.0275833320105854
21,0.004,0.000316,0,1e-09,0.000316,0.000311234891676241,-4.76510832375947e-06,-0.0150794567207578
22,0.004,0.000315,0,1e-09,0.000315,0.000304549534339426,-1.04504656605743e-05,-0.0331760814621406
23,0.004,0.000305,0,1e-09,0.000305,0.000296811888245275,-8.1881117547249e-06,-0.0268462680482783
24,0.004,0.000299,0,1e-09,0.000299,0.000287878001211768,-1.11219987882322e-05,-0.0371973203619806
25,0.004,0.000286,0,1e-09,0.000286,0.000277612545956988,-8.38745404301196e-06,-0.0293267623881537
26,0.004,0.000273,0,1e-09,0.000273,0.000265908644635401,-7.09135536459916e-06,-0.0259756606761874
27,0.00399999999999978,0.000256,0,1e-09,0.000256,0.000252714998483833,-3.28500151616719e-06,-0.0128320371725281
28,0.004,0.000245,0,1e-09,0.000245,0.000238067631304073,-6.93236869592746e-06,-0.028295382432357
29,0.004,0.000224,0,1e-09,0.000224,0.000222119220648162,-1.88077935183754e-06,-0.00839633639213189
30,0.004,0.000206,0,1e-09,0.000206,0.000205154844057505,-8.45155942494835e-07,-0.00410269874997493
31,0.004,0.000182,0,1e-09,0.000182,0.000187582390537497,5.58239053749716e-06,0.0306724754807536
32,0.004,0.000155,0,1e-09,0.000155,0.000169892094639969,1.48920946399694e-05,0.0960780299352865
33,0.004,0.000139,0,1e-09,0.000139,0.000152591908669075,1.35919086690749e-05,0.0977835156048551
34,0.004,0.000124,0,1e-09,0.000124,0.000136137181601508,1.21371816015078e-05,0.0978804967863536
35,0.004,0.000107,0,1e-09,0.000107,0.000120876146170507,1.3876146170507e-05,0.129683609070159
36,0.004,9.2e-05,0,1e-09,9.2e-05,0.000107024696494396,1.5024696494396e-05,0.163311918417348
37,0.004,8.1e-05,0,1e-09,8.1e-05,9.46707854015087e-05,1.36707854015087e-05,0.168775128413687
38,0.004,7e-05,0,1e-09,7e-05,8.37988621472352e-05,1.37988621472352e-05,0.19712660210336
39,0.004,6.2e-05,0,1e-09,6.2e-05,7.43220472348109e-05,1.23220472348109e-05,0.19874269733566
40,0.004,5.6e-05,0,1e-09,5.6e-05,6.61125710188271e-05,1.01125710188271e-05,0.180581625336199
41,0.004,4.5e-05,0,1e-09,4.5e-05,5.90256438236145e-05,1.40256438236145e-05,0.3116809738581
42,0.004,4.2e-05,0,1e-09,4.2e-05,5.29157041859057e-05,1.09157041859057e-05,0.259897718712041
43,0.004,3.4e-05,0,1e-09,3.4e-05,4.76460814426713e-05,1.36460814426713e-05,0.401355336549156
44,0.015,0.000688,0,1e-09,0.000688,0.000635910219062814,-5.20897809371862e-05,-0.0757118908970729
45,0.015,0.000251,0,1e-09,0.000251,0.000277713497215837,2.67134972158368e-05,0.106428275760306
46,0.015,0.000149,0,1e-09,0.000149,0.000168542575418228,1.95425754182275e-05,0.131158224283406
47,0.015,0.000107,0,1e-09,0.000107,0.000121388345494713,1.43883454947125e-05,0.134470518642173
48,0.015,8.5e-05,0,1e-09,8.5e-05,9.5517469205427e-05,1.05174692054269e-05,0.123734931828552
49,0.015,7.8e-05,0,1e-09,7.8e-05,7.89661498531161e-05,9.66149853116139e-07,0.012386536578412
50,0.015,6.7e-05,0,1e-09,6.7e-05,6.72596858761892e-05,2.59685876189149e-07,0.00387590859983804
51,0.015,5.8e-05,0,1e-09,5.8e-05,5.84080219959146e-05,4.08021995914625e-07,0.00703486199852802
52,0.015,5.4e-05,0,1e-09,5.4e-05,5.14037190326901e-05,-2.59628096730994e-06,-0.0480792771724063
53,0.015,5.3e-05,0,1e-09,5.3e-05,4.56824830029543e-05,-7.3175169970457e-06,-0.138066358434825
54,0.015,5.3e-05,0,1e-09,5.3e-05,4.09014901540227e-05,-1.20985098459773e-05,-0.228273770678817
55,0.015,4.8e-05,0,1e-09,4.8e-05,3.68382252678799e-05,-1.11617747321201e-05,-0.232536973585836
56,0.015,4.1e-05,0,1e-09,4.1e-05,3.33402350934284e-05,-7.65976490657164e-06,-0.186823534306625
57,0.015,3.8e-05,0,1e-09,3.8e-05,3.02983473462658e-05,-7.70165265373421e-06,-0.202675069835111
58,0.015,3.8e-05,0,1e-09,3.8e-05,2.76315117418847e-05,-1.03684882581153e-05,-0.27285495416093
