"H";"L";"OH";"HL";"H2L";"HOH";"HOHD"
1,33211409819135e-06;0,000921023775318199;7,51057337346699e-09;6,68560002568846e-05;1,90098500182324e-08;1,00049406762959;0,999506176352687
1,92118005640746e-06;0,000890623517935845;5,20769547166804e-09;9,32374427751623e-05;3,82344897013837e-08;1,00049206800121;0,999508174010622
2,547942650854e-06;0,000860392994472096;3,92665853617554e-09;0,000119457834928051;6,49682491416681e-08;1,00049007596616;0,999510164090645
3,2160060148163e-06;0,000830336534022847;3,11096461623758e-09;0,000145512105297803;9,98878928101024e-08;1,00048809177008;0,999512146347276
3,92944136428791e-06;0,000800458678482929;2,54612812034909e-09;0,000171394884263117;1,43755855215455e-07;1,00048611548763;0,999514120705818
4,69285567906666e-06;0,000770764492335825;2,1319303544734e-09;0,000197100180834852;1,97433614385414e-07;1,00048414713651;0,999516087148512
5,51147681058813e-06;0,000741259730727689;1,81527060912053e-09;0,000222621198758546;2,6189751427049e-07;1,00048218671099;0,999518045680973
6,39125570652257e-06;0,000711950985229441;1,56538915063798e-09;0,000247950171978926;3,38257537076766e-07;1,00048023419435;0,999519996319829
7,33898869293683e-06;0,00068284583907447;1,36323726799995e-09;0,000273078187070402;4,27779633991112e-07;1,00047828956417;0,999521939087377
8,36246386944372e-06;0,000653953045257816;1,19638944743385e-09;0,000297994978510401;5,31912351621784e-07;1,00047635279493;0,999523874009017
9,4706366828249e-06;0,000625282736561188;1,05639616148898e-09;0,000322688686841726;6,52318643564969e-07;1,0004744238593;0,999525801111969
1,06738408531809e-05;0,000596846676004155;9,37312553644443e-10;0,000347145570158432;7,90913932286358e-07;1,00047250272893;0,999527720424453
1,19840420744914e-05;0,000568658556972555;8,34835678276209e-10;0,000371349658403036;9,49911682462558e-07;1,00047058937486;0,999529631975331
1,34151432765337e-05;0,000540734363553298;7,4577562322265e-10;0,000395282338479051;1,1318779525936e-06;1,00046868376781;0,999531535793762
1,49833516243596e-05;0,000513092803050071;6,67718952982341e-10;0,000418921856545588;1,33979658367632e-06;1,00046678587836;0,999533431909033
1,67076186373579e-05;0,000485755823933126;5,98807596338162e-10;0,000442242722449692;1,57714681603356e-06;1,0004648956771;0,99953532035046
1,861016543284e-05;0,000458749233049545;5,37589532315086e-10;0,000465215000690058;1,84799511431384e-06;1,00046301313469;0,999537201147262
2,07171044167433e-05;0,000432103424921145;4,82915526270828e-10;0,000487803473605033;2,15710268055798e-06;1,00046113822193;0,999539074328512
2,30591655210685e-05;0,000405854231897449;4,3386620820938e-10;0,000509966667368905;2,51004930391718e-06;1,00045927090985;0,99954093992309
2,56725273088859e-05;0,000380043894393122;3,89699619025597e-10;0,000531655742666015;2,91337244809547e-06;1,0004574111697;0,999542797959616
2,85997378161136e-05;0,000354722131741843;3,49812842832907e-10;0,000552813273853265;3,37471723395975e-06;1,00045555897305;0,999544648466428
3,18906824014028e-05;0,000329947261056412;3,13713485870005e-10;0,000573371979109852;3,90298742867695e-06;1,00045371429173;0,999546491471568
3,5603510423411e-05;0,000305787257198307;2,809980996818e-10;0,00059325352718873;4,50847872371563e-06;1,00045187709796;0,99954832700272
3,98053635155253e-05;0,000282320564914587;2,51335488237434e-10;0,000612367641425036;5,20296258849307e-06;1,00045004736432;0,999550155087202
4,45726533435973e-05;0,000259636362090746;2,24453369951202e-10;0,000630611850993365;5,9996717592767e-06;1,00044822506372;0,999551975751981
4,99905247850612e-05;0,000237833841856409;2,00127206999913e-10;0,000647872389876157;6,91311916408618e-06;1,00044641016943;0,999553789023688
5,61510433687736e-05;0,000217019969576081;1,78170260539023e-10;0,000664026870326007;7,95866746866523e-06;1,00044460265524;0,999555594928438
6,31496313567518e-05;0,000197305159527366;1,58424171448203e-10;0,000678949365589576;9,15176967336345e-06;1,00044280249529;0,999557393491981
7,10794474392933e-05;0,000178796526570696;1,40749688652074e-10;0,000692518286265047;1,05068410849672e-05;1,0004410096642;0,999559184739589
8,00238563348548e-05;0,000161588911549101;1,25017622238862e-10;0,000704626799103083;1,20358151150029e-05;1,00043922413679;0,999560968696358
9,00478567636166e-05;0,00014575473907104;1,11100639353879e-10;0,000715194539413546;1,3746573089209e-05;1,00043744588843;0,999562745386802
0,000101190100860758;0,00013133466586296;9,88669510540145e-11;0,000724178333772324;1,56415731871996e-05;1,00043567489513;0,999564514834824
0,000113457506412165;0,000118331394156307;8,81769697545272e-11;0,00073157918547763;1,77170515981787e-05;1,00043391113295;0,999566277064256
0,000126824039904288;0,000106708494347877;7,88834794517887e-11;0,000737443412270537;1,99630621390698e-05;1,00043215457828;0,999568032098627
0,000141234059391888;9,63946488507873e-05;7,08349253371125e-11;0,000741857501489276;2,23643772483686e-05;1,00043040520817;0,999569779960774
0,000156609211592605;8,72920713065804e-05;6,38805759141743e-11;0,000744938168726226;2,49020101159959e-05;1,00042866300004;0,999571520673196
0,000172856994529832;7,92868242665956e-05;5,78759876424072e-11;0,000746820285093692;2,75549697352779e-05;1,00042692793122;0,999573254258455
0,00018987906419287;7,22587455820418e-05;5,26874937072263e-11;0,000747645331091506;3,03018806443034e-05;1,00042519997958;0,999574980738597
0,000207577976767482;6,60894434361478e-05;4,8195068412478e-11;0,000747552148763325;3,31222357365251e-05;1,00042347912326;0,999576700135394
0,000225861853459068;6,06677749873776e-05;4,42935250029288e-11;0,000746670649221365;3,59972100918839e-05;1,00042176533971;0,999578412471298
0,000244647071232575;5,58929555296052e-05;4,08923782969591e-11;0,000745118285060324;3,8910079401791e-05;1,00042005860855;0,999580117766592
0,000263859399853847;5,16758159216369e-05;3,79148273460316e-11;0,000742998672531809;4,18463403642189e-05;1,00041835890861;0,99958181604237
0,000283434077292648;4,79388042003562e-05;3,52962733264856e-11;0,000740401663714245;4,4793636899752e-05;1,00041666621615;0,999583507322275
0,000303315250605682;4,46152443553686e-05;3,29826798525491e-11;0,000737404269840131;4,77415780487586e-05;1,00041498051229;0,9995851916251
0,000204592544623325;8,21925094066879e-05;4,88776363682584e-11;0,00091632633644491;4,001629240669e-05;0,999999999975557;1,00000000002444
0,000422366570721172;3,92010980142361e-05;2,36761161822231e-11;0,000902227154969838;8,13396513937759e-05;0,999999999988162;1,00000000001184
0,000663778451935395;2,38146567648151e-05;1,50652675429621e-11;0,000861381621565586;0,000122043773248188;0,999999996765993;1,00000000323401
0,000912399446641862;1,64228136200173e-05;1,09601118630307e-11;0,000816508485337591;0,00015901664657475;0,999999999896211;1,00000000010379
0,00116376171348601;1,21855621415977e-05;8,59282435918281e-12;0,00077274776747195;0,000191954677474494;0,999999999992689;1,00000000000731
0,00141606985381775;9,47958753885896e-06;7,06179852145261e-12;0,000731479642140358;0,000221097481754653;0,999999999996383;1,00000000000362
0,00166835738930105;7,62316828581756e-06;5,99391956669396e-12;0,000693031095581326;0,000246796323405278;0,999999999997002;1,000000000003
0,00191999964665329;6,28324058711949e-06;5,20833429183421e-12;0,000657374665864962;0,000269408309556087;0,999999999997392;1,00000000000261
0,0021705472658987;5,27878930511389e-06;4,60713302911488e-12;0,000624355153271616;0,000289266288370585;0,999999999997691;1,00000000000231
0,00241965671751596;4,5033950633735e-06;4,13281765449993e-12;0,000593775027390327;0,000306670894056152;0,999999999997932;1,00000000000207
0,00266705620106212;3,89061456857863e-06;3,74945229725526e-12;0,000565429549473302;0,000321890043411649;0,999999999998131;1,00000000000187
0,0029125265007667;3,39694711573542e-06;3,43344515400989e-12;0,000539121679622813;0,000335161061371053;0,999999999998288;1,00000000000171
0,00315588899731208;2,99279827817204e-06;3,16867917773378e-12;0,000514668146023384;0,000346693647328647;0,999999975302196;1,0000000246978
0,00339699749408238;2,65738662561752e-06;2,94377606521348e-12;0,000491901442814866;0,00035667296980667;0,999999991666989;1,00000000833301
0,00363573227907065;2,3757263550693e-06;2,75047753904496e-12;0,000470669912025415;0,000365262601161499;0,999999997156458;1,00000000284354
0,00387199560851349;2,13676377348926e-06;2,58264755471146e-12;0,000450836939748524;0,000372607184205063;0,999999999018094;1,00000000098191
