"tot"	"tot"	"tot"	"tot"	"tot"
"M"	"L"	"H"	"OH"	"series"
"1e-09"	"0.02037"	"1.88846453712908e-12"	"0.01009"	"a"
"0.01019"	"0.02037"	"1.88846453712908e-12"	"0.01009"	"a"
"1e-09"	"0.02037"	"1.88846453712908e-12"	"0.01009"	"b"
"0.01019"	"0.02037"	"1.88846453712908e-12"	"0.01009"	"b"
"1e-09"	"0.02037"	"1.88846453712908e-12"	"0.01009"	"c"
"0.01019"	"0.02037"	"1.88846453712908e-12"	"0.01009"	"c"
"1e-09"	"0.0204"	"8.87085995327393e-13"	"0.02148"	"d"
"0.0102"	"0.0204"	"8.87085995327393e-13"	"0.02148"	"d"
"1e-09"	"0.0204"	"8.87085995327393e-13"	"0.02148"	"f"
"0.01019"	"0.0204"	"8.87085995327393e-13"	"0.02148"	"f"
"1e-09"	"0.0204"	"8.87085995327393e-13"	"0.02148"	"g"
"0.0102"	"0.0204"	"8.87085995327393e-13"	"0.02148"	"g"
