"data";"volumes";"observation";"dilution";"deviation";"heats";"heats.calculated";"res.abs";"res.rel"
1;0,002;5,68309614333761e-06;5,2389e-05;1e-07;-4,67059038566624e-05;-3,77730713403502e-05;8,93283251631223e-06;-0,191257031310786
2;0,01;0,000151270019437322;0,00032246;1e-07;-0,000171189980562678;-0,000179336701699748;-8,14672113706966e-06;0,0475887730712539
3;0,01;0,000164174243954135;0,00031286;1e-07;-0,000148685756045865;-0,000164652600128912;-1,59668440830472e-05;0,107386507676781
4;0,01;0,000161766685306602;0,00030326;1e-07;-0,000141493314693398;-0,000151439655275037;-9,94634058163881e-06;0,0702954807666464
5;0,01;0,000154410840917368;0,00029366;1e-07;-0,000139249159082632;-0,000139532735687478;-2,83576604845559e-07;0,00203646906533405
6;0,01;0,000150812631382844;0,00028406;1e-07;-0,000133247368617156;-0,000128785520608047;4,46184800910929e-06;-0,0334854493219224
7;0,01;0,000147967580625029;0,00027446;1e-07;-0,000126492419374971;-0,000119068665135037;7,42375423993391e-06;-0,0586893212780373
8;0,01;0,000142025213329922;0,00026486;1e-07;-0,000122834786670078;-0,000110268193945776;1,25665927243017e-05;-0,102304836154064
9;0,01;0,000140521924325731;0,00025526;1e-07;-0,000114738075674269;-0,000102283550687199;1,24545249870696e-05;-0,108547445247616
10;0,01;0,000138227683218485;0,00024566;1e-07;-0,000107432316781515;-9,50262322502397e-05;1,24060845312753e-05;-0,115478143848518
11;0,01;0,000134469100835544;0,00023606;1e-07;-0,000101590899164456;-8,84182687101063e-05;1,31726304543497e-05;-0,129663489177566
12;0,01;0,000131902338151592;0,00022646;1e-07;-9,4557661848408e-05;-8,23909511190963e-05;1,21667107293117e-05;-0,128669750197684
13;0,01;0,000129932017369441;0,000216860000000001;1e-07;-8,692798263056e-05;-7,68836864317006e-05;1,00442961988594e-05;-0,115547328891172
14;0,01;0,000125658951454205;0,000207259999999999;1e-07;-8,1601048545794e-05;-7,18429862751643e-05;9,75806227062965e-06;-0,119582559838719
15;0,01;0,000121930716306095;0,00019766;1e-07;-7,5729283693905e-05;-6,72215786104899e-05;8,50770508341515e-06;-0,112343662430546
16;0,01;0,000119731498089042;0,00018806;1e-07;-6,8328501910958e-05;-6,29776302908012e-05;5,35087162015677e-06;-0,0783109752227516
17;0,01;0,000116859819817852;0,00017846;1e-07;-6,1600180182148e-05;-5,90740684623341e-05;2,52611171981392e-06;-0,0410081871894588
18;0,01;0,000113507286288302;0,00016886;1e-07;-5,5352713711698e-05;-5,54779892754975e-05;-1,25275563799531e-07;0,00226322352418028
19;0,01;0,000110154933531191;0,00015926;1e-07;-4,9105066468809e-05;-5,21601432139501e-05;-3,05507674514112e-06;0,0622151025308493
20;0,01;0,000109171976349646;0,00014966;1e-07;-4,0488023650354e-05;-4,90944873383022e-05;-8,60646368794821e-06;0,212568135265673
21;0,01;0,000104884426597035;0,000140059999999999;1e-07;-3,5175573402964e-05;-4,62577957692986e-05;-1,10822223663346e-05;0,315054490779127
22;0,01;0,000103335196973618;0,000130460000000001;1e-07;-2,7124803026383e-05;-4,36293207389601e-05;-1,65045177125771e-05;0,608465900988255
23;0,01;0,00010013899930567;0,000120860000000001;1e-07;-2,0721000694331e-05;-4,11904974783808e-05;-2,04694967840498e-05;0,987862366591689
24;0,01;9,76601326246162e-05;0,000111259999999998;1e-07;-1,35998673753818e-05;-3,89246870699104e-05;-2,53248196945286e-05;1,86213725439493
25;0,01;9,32732611303209e-05;0,000101660000000001;1e-07;-8,3867388696801e-06;-3,68169521640373e-05;-2,84302132943572e-05;3,38990085850159
