"data"	"volumes"	"observation"	"dilution"	"deviation"	"heats"
1	0.002	1.33024430810567e-05	-2.13828e-05	1e-07	3.46852430810567e-05
2	0.01	0.000448750399907126	-0.000175518	1e-07	0.000624268399907126
3	0.01	0.000439459263254933	-0.000169758	1e-07	0.000609217263254933
4	0.01	0.000412048463189916	-0.000163998	1e-07	0.000576046463189916
5	0.01	0.000393306346042804	-0.000158238	1e-07	0.000551544346042804
6	0.01	0.000364730346649461	-0.000152478	1e-07	0.000517208346649461
7	0.01	0.000340844078275324	-0.000146718	1e-07	0.000487562078275324
8	0.01	0.000321968578019801	-0.000140958	1e-07	0.000462926578019801
9	0.01	0.000306935937491238	-0.000135198	1e-07	0.000442133937491238
10	0.01	0.000293903759417584	-0.000129438	1e-07	0.000423341759417584
11	0.01	0.0002775679843713	-0.000123678	1e-07	0.0004012459843713
12	0.01	0.000264605317977577	-0.000117918	1e-07	0.000382523317977577
13	0.01	0.000251805668370557	-0.000112158	1e-07	0.000363963668370557
14	0.01	0.000240576015784257	-0.000106398	1e-07	0.000346974015784257
15	0.01	0.00023123273298954	-0.000100638	1e-07	0.00033187073298954
16	0.01	0.000220234106689584	-9.48780000000004e-05	1e-07	0.000315112106689584
17	0.01	0.000209152099958524	-8.91179999999995e-05	1e-07	0.000298270099958524
18	0.01	0.000201253467639318	-8.33580000000002e-05	1e-07	0.000284611467639318
19	0.01	0.000191246726770228	-7.7598e-05	1e-07	0.000268844726770228
20	0.01	0.000185086322693858	-7.18380000000002e-05	1e-07	0.000256924322693858
21	0.01	0.000175354559241618	-6.6078e-05	1e-07	0.000241432559241618
22	0.01	0.000172180902895047	-6.03180000000002e-05	1e-07	0.000232498902895047
23	0.01	0.000162428073255568	-5.4558e-05	1e-07	0.000216986073255568
24	0.01	0.000155929422479766	-4.87979999999998e-05	1e-07	0.000204727422479766
25	0.01	0.000147409095889272	-4.3038e-05	1e-07	0.000190447095889272
