"H";"L";"OH";"HL";"H2L";"HOH";"HOHD"
9,783878148204e-07;0,000920651579895779;1,02259456947028e-08;6,72439494460887e-05;3,25608323495961e-09;1,00049406627124;0,999506177709694
1,41182973026813e-06;0,000890080609314281;7,08649241202294e-09;9,38120308952588e-05;6,55499116889173e-09;1,00049206706135;0,999508174949554
1,87360509878586e-06;0,000859663425097133;5,33991968695817e-09;0,000120241222864688;1,11496874677402e-08;1,00049007525919;0,999510164796927
2,36651108974934e-06;0,000829403196201595;4,22769238456182e-09;0,000146528169287695;1,71617241709305e-08;1,00048809121144;0,999512146905369
2,89372637008148e-06;0,000799303025213059;3,45743165413247e-09;0,00017266956450487;2,47288833325889e-08;1,00048611503175;0,999514121161253
3,45887026365394e-06;0,000769366320621553;2,89251712407138e-09;0,000198661778261444;3,40079020642312e-08;1,00048414675604;0,999516087528618
4,06607766611546e-06;0,000739596966529764;2,46055847561812e-09;0,000224500682721984;4,51777487582138e-08;1,0004821863882;0,999518046003461
4,72009062305009e-06;0,000709999451957322;2,11962081624312e-09;0,000250181519207952;5,84435801696386e-08;1,0004802339171;0,999519996596815
5,42636991632714e-06;0,00068057900171048;1,84373403352676e-09;0,000275698762524974;7,40415434093907e-08;1,00047828932381;0,99952193932751
6,19123140612003e-06;0,000651341725506562;1,6159569671327e-09;0,000301045965982106;9,22446311710012e-08;1,00047635258505;0,999523874218697
7,0220133320726e-06;0,000622294796049977;1,42476861885953e-09;0,000326215576140876;1,13369855627438e-07;1,00047442367503;0,999525801296061
7,92728256607691e-06;0,000593446666115124;1,26206237033581e-09;0,000351198706899636;1,37787080113343e-07;1,00047250256648;0,999527720586757
8,91709009147798e-06;0,000564807336115624;1,12196981186426e-09;0,000375984860999852;1,65929942576283e-07;1,00047058923122;0,999529632118836
1,00032889106689e-05;0,00053638868629706;1,00013974661226e-09;0,000400561584261574;1,98309426310132e-07;1,00046868364057;0,999531535920883
1,11999313173162e-05;0,000508204891386425;8,93279393792993e-10;0,000424914034005194;2,35530787716685e-07;1,00046678576554;0,999533432021751
