H;PO4;Hydr;Cu;DNA;H+PO4;2H+PO4;3H+PO4;H+PO4+Cu;2H+2PO4+Cu;2H+PO4+Cu;4H+2PO4+Cu;Cu;Hydr;2Hydr+Cu;Cu+DNA
5.4719306007583585e-08;4.356481401231417e-06;8.259517860200998e-05;1.081213216202099e-09;7.452066594656948e-20;0.07199070804429411;0.016804168421761988;6.661278729788306e-08;1.3841647678105447e-07;2.8084340869968965e-07;2.8795748466741717e-10;2.4251879235907373e-11;2.2170258910918956e-10;5.71419026054514e-10;9.50212499246245e-06;2.5479334062437373e-20
3.926263634722585e-08;6.393190443563118e-06;6.478803798340729e-05;3.403799932182812e-09;4.8160832943375375e-20;0.07580486858507984;0.01269628190368889;3.611237190463088e-08;4.5883984510951836e-07;9.802982417111649e-07;6.849211576790937e-10;4.3583001766012694e-11;9.727126586421196e-10;4.48223712219935e-10;1.8405756896583913e-05;5.1839167057139526e-20
5.472287028230582e-08;3.9929196187996475e-06;4.810700239698601e-05;8.971140220376964e-09;2.6062546359989803e-20;0.06598715982023311;0.01540381537647643;6.106567658839566e-08;1.0527059580608855e-06;1.95779185358042e-06;2.1901605374767965e-09;1.690846777941747e-10;1.839410986935786e-09;3.328191417630642e-10;2.674633239193673e-05;7.393745364001132e-20
5.472794061560855e-08;3.810716080097586e-06;3.5204898294217884e-05;2.079209580854643e-08;1.3201253968196264e-20;0.06298189140324913;0.01470363810072573;5.829534959538362e-08;2.3287022695985528e-06;4.133611580193353e-06;4.84532678475034e-09;3.570654895260388e-10;4.262743114099569e-09;2.435583896799107e-10;3.3197429377798176e-05;8.679874659870236e-20
5.4736510914671385e-08;3.628115830173329e-06;2.643535036871176e-05;4.174576686484816e-08;7.041673031512358e-21;0.059973342538392475;0.014003460314918352;5.5528056790129106e-08;4.452159326661512e-06;7.525388963199386e-06;9.265050874228841e-09;6.502542109857164e-10;8.557271924833677e-09;1.8288794112168082e-10;3.758223337435055e-05;9.295832697257532e-20
5.4748281243614466e-08;3.445226938358738e-06;2.083632480789901e-05;7.220097545218914e-08;4.196047184234306e-21;0.056962405866540784;0.013303282496630684;5.2762978415892046e-08;7.313603115110911e-06;1.174139538222146e-05;1.5223057174555436e-08;1.014987495810195e-09;1.4796962577780966e-08;1.4415214822231062e-10;4.0381765519978474e-05;9.580395281576764e-20
5.476268326299871e-08;3.262181506338478e-06;1.7117620372664564e-05;1.1190480966785884e-07;2.7482034476069472e-21;0.05395017290376282;0.012603105172178206;4.9999110709423364e-08;1.0735977528060974e-05;1.6324295009862508e-05;2.2352510797358367e-08;1.4118997904581306e-09;2.2927887037507938e-08;1.1842499922242268e-10;4.2241130625363185e-05;9.725179657899928e-20
5.477943844784297e-08;3.0790637700546658e-06;1.4477528247281884e-05;1.6132840920440557e-07;1.922466080266887e-21;0.05093733972013908;0.011902928791170143;4.7235814822370406e-08;1.4613259986490956e-05;2.097893176913312e-05;3.043439597861853e-08;1.815593094792773e-09;3.304405036989733e-08;1.0016002423823332e-10;4.3561185796383993e-05;9.807753391976785e-20
5.4798565503162575e-08;2.8959190080372695e-06;1.2486063450564695e-05;2.2185240292223446e-07;1.405365041953491e-21;0.04792428049144502;0.011202753786404536;4.447274957576378e-08;1.8906874364510328e-05;2.5537321244233596e-05;3.9390267323182046e-08;2.211636350226715e-09;4.5425001170079056e-08;8.638245399959615e-11;4.4556925083490705e-05;9.85946349580479e-20
5.472288754799019e-08;2.7224391508270577e-06;4.29578097093822e-05;1.2333709822384111e-08;1.7346013052554852e-05;0.04499115964694617;0.01050258470471664;4.16356355615795e-08;9.867813066559874e-07;1.2512615547085597e-06;2.0530045852735146e-09;1.08065262367987e-10;2.528859614468313e-09;2.9719543199792684e-10;2.932094654823452e-05;6.765398695385519e-05
5.471940890247956e-08;2.722785342797715e-06;7.104717707827014e-05;2.22617802822111e-09;4.988323497739195e-05;0.044994020453030546;0.010502584846863236;4.163298941500366e-08;1.7812082314946786e-07;2.2587569136580237e-07;3.7055791219732646e-10;1.9505284514881552e-11;4.564765739113185e-10;4.915263749910913e-10;1.4476165700273725e-05;3.511676507158699e-05
