H;PO4;Hydr;Cu;DNA
6.938893903907228e-17;6.938893903907228e-17;5.960929991798147e-15;3.112434423147188e-15;9.006852126169957e-30
-1.249000902703301e-16;-1.249000902703301e-16;2.8732712823581474e-16;1.549155497892335e-16;5.148973706319275e-31
2.7755575615628914e-17;4.163336342344337e-17;1.2197274440461925e-18;6.911788849595091e-19;1.131483842327501e-33
2.92377233535035e-13;2.9226621123257246e-13;6.082039169172382e-13;4.587870881811451e-13;5.6689862265128735e-28
1.0200174038743626e-14;1.0158540675320182e-14;5.353980063113606e-15;8.086440588320198e-15;4.087690010464689e-30
-2.7755575615628914e-17;-2.7755575615628914e-17;4.174178364069192e-18;1.1275702593849246e-17;1.9500040686920763e-33
4.161254674173165e-13;4.16236489719779e-13;4.83901520199545e-14;2.705799451684088e-13;2.6606228662161414e-29
9.992007221626409e-16;1.0269562977782698e-15;7.410521848938423e-17;6.558745517179498e-16;3.4738961371884767e-32
1.8041124150158794e-16;1.734723475976807e-16;9.486769009248164e-20;4.472333961502706e-19;1.3842621475283258e-33
3.608224830031759e-16;3.885780586188048e-16;1.283234586299531e-15;2.7387624503341645e-15;6.410033636695955e-15
4.163336342344337e-16;3.469446951953614e-16;5.1925830172119825e-15;4.174828885372683e-15;4.897894156224991e-14
