"label";"observed";"Curve 215";"Curve 244";"Curve 299";"Curve 401";"predicted"
190;3,1562;0,0013826131356189;4,56755249419096e-06;1,54458378628954e-16;4,97516921670096e-11;0,00138718073786494
190,5;2,439;0,00191039940477237;5,70764795116558e-06;2,15897573302837e-16;5,51033923365799e-11;0,00191610710782714
191;1,5224;0,00262198682028629;7,11729785115054e-06;3,0130161125085e-16;6,10155227155345e-11;0,00262910417915326
191,5;0,9778;0,00357453594969533;8,85640434865831e-06;4,19829113044214e-16;6,7545101192089e-11;0,0035833924215895
192;1,8506;0,00484051609741019;1,09972491536902e-05;5,84064826251391e-16;7,47547679274685e-11;0,00485151342131923
192,5;1,2834;0,00651098212334196;1,36268358709186e-05;8,1127288000838e-16;8,27133211056513e-11;0,00652460904192701
193;1,9165;0,00869929727270742;1,68496280376763e-05;1,12509777983585e-15;9,14963018430689e-11;0,00871614699224252
193,5;1,5488;0,0115452854587954;2,07907398202978e-05;1,55786916441026e-15;1,01186632582486e-10;0,0115660762998039
194;1,1026;0,0152197673416375;2,55996425695218e-05;2,15371929460979e-15;1,11875313657808e-10;0,0152453670960845
194,5;1,1669;0,0199293982833895;3,14544569816496e-05;2,97279266289726e-15;1,23662183107796e-10;0,0199608528640363
195;0,7561;0,0259216829286421;3,85669073973511e-05;4,09692058965243e-15;1,36656745238781e-10;0,0259602499727003
195,5;1,5482;0,0334899914227183;4,7188021707721e-05;5,63725753634928e-15;1,50979073891728e-10;0,0335371795954107
196;2,5135;0,0429783475191569;5,76146673169155e-05;7,74453968749673e-15;1,66760796859774e-10;0,0430359623532424
196,5;1,7253;0,0547857012340846;7,01970204954469e-05;1,06228426247937e-14;1,8414616843141e-10;0,0548558984387369
197;0,8187;0,069369341365627;8,53470730819517e-05;1,45479999019749e-14;2,03293237604272e-10;0,0694546886420168
197,5;1,7529;0,0872470500990851;0,000103548286656511;1,98922191624734e-14;2,24375120128374e-10;0,0873505986101367
198;1,2273;0,108997557887836;0,000125366509784619;2,7156924534907e-14;2,47581383198298e-10;0,109122924645229
198,5;1,3348;0,135258827335423;0,000151462278451911;3,70164988721227e-14;2,73119552325057e-10;0,135410289887032
199;1,3781;0,166723685813414;0,000182604623074402;5,03764427974913e-14;3,01216750683337e-10;0,166906290737755
199,5;1,2756;0,204132343970333;0,000219686507139991;6,84505685684478e-14;3,32121482052613e-10;0,204352030809663
200;0,585;0,248261386608682;0,000263742022242281;9,28632814729184e-14;3,66105569355109e-10;0,248525128997123
200,5;0,9951;0,29990890810858;0,000315965461602543;1,2578486743345e-13;4,03466261744103e-10;0,300224873973774
201;1,3434;0,359875589515053;0,000377732388705806;1,70110127757656e-13;4,44528524217192e-10;0,360253322348458
201,5;1,4706;0,428941679203795;0,000450622808944049;2,29693840447515e-13;4,89647524825585e-10;0,429392302502616
202;1,5162;0,507840041526756;0,000536446539687405;3,09660586219218e-13;5,39211335727738e-10;0,508376488605965
202,5;1,3844;0,597225672615611;0,00063727085750775;4,16811716247502e-13;5,93643865598546e-10;0,597862944067179
203;1,7525;0,697642340714174;0,000755450479874395;5,60158987869698e-13;6,53408042260374e-10;0,698397791848017
203,5;2,8804;0,809487277679201;0,000893659912058688;7,51623072866667e-13;7,19009265854967e-10;0,81038093831102
204;2,3289;0,932975113133662;0,00105492815778176;1,0069462804901e-12;7,90999154432474e-10;0,93403004208345
204,5;2,9037;1,06810248516522;0,0012426757539207;1,34688310346625e-12;8,69979605502559e-10;1,06934516179047
205;2,4572;1,21461496188763;0,00146075404502014;1,79875043328304e-12;9,56607198879442e-10;1,21607571689106
205,5;2,8168;1,37197804682388;0,00171348656218967;2,39844256190163e-12;1,05159796806647e-09;1,37369153444007
206;3,0828;1,53935409939211;0,00200571231305753;3,19304572169442e-12;1,15573256947348e-09;1,54135981286409
206,5;2,9992;1,71558696415984;0,00234283072478386;4,24422458060658e-12;1,2698618809511e-09;1,71792979615873
207;3,2153;1,89919595792876;0,00273084791084587;5,63260088772625e-12;1,39491306346965e-09;1,90192680724016
207,5;3,0669;2,08838060714144;0,00317642385470453;7,4634049519039e-12;1,53189612227445e-09;2,0915570325355
208;3,2981;2,28103716184291;0,00368692002005503;9,87375706255165e-12;1,68191100652672e-09;2,28472408355475
208,5;3,2564;2,47478744675782;0,00427044680887711;1,30420323362712e-11;1,84615528929827e-09;2,4790578954259
209;3,3815;2,66702006336643;0,00493591019590026;1,71998837606846e-11;2,02593247284116e-09;2,67195597560546
209,5;3,321;2,85494335520961;0,0056930567725987;2,26476505434585e-11;2,22266096731273e-09;2,86063641422751
210;3,3733;3,03564892445713;0,00655251633691182;2,9774069825094e-11;2,43788379461321e-09;3,0422014432617
210,5;3,5232;3,20618387800595;0,00752584106829617;3,90814486849027e-11;2,67327907270127e-09;3,21370972178661
211;3,4889;3,36362942513403;0,00862554023347468;5,12177515828606e-11;2,93067133970705e-09;3,3722549683494
211,5;3,618;3,5051829844457;0,00986510927863476;6,70174299224622e-11;3,21204378137456e-09;3,51504809700339
212;3,5481;3,62824062031005;0,0112590520813649;8,75532823786443e-11;3,5195514298544e-09;3,63949967599852
212,5;3,536;3,73047644653065;0,0128228950630496;1,14202207836723e-10;3,85553540664604e-09;3,74329934556344
213;3,6927;3,80991562690937;0,014573191802694;1,48728422556606e-10;4,22253828757634e-09;3,82448882308333
213,5;3,6687;3,86499777708468;0,0165275167492833;1,93388590229509e-10;4,62332067311283e-09;3,88152529865068
214;3,6897;3,89462792590086;0,0187044466049477;2,51064395104297e-10;5,06087905306685e-09;3,91333237781775
214,5;3,6633;3,89821271174098;0,0211235279485674;3,2542941919986e-10;5,53846506086005e-09;3,91933624555345
215;3,615;3,87568014243673;0,0238052296921075;4,21158818823325e-10;6,05960621903094e-09;3,8994853786096
215,5;3,6061;3,82748199955295;0,0267708790128952;5,44192298086408e-10;6,62812828456504e-09;3,85425288573816
216;3,6692;3,75457877488504;0,0300425794869543;7,02063325619833e-10;7,2481793099655e-09;3,78462136232224
216,5;3,6364;3,65840784075968;0,0336431102637856;9,04310528165515e-10;7,92425554376475e-09;3,69205095985203
217;3,6799;3,54083632756186;0,0375958052735852;1,16299083195898e-09;8,66122930243391e-09;3,57843214265967
217,5;3,6732;3,40410086624663;0,0419244116452295;1,49331834150429e-09;9,46437895440328e-09;3,44602528884956
218;3,5095;3,25073691118945;0,0466529267381993;1,9144583016535e-09;1,03394211661871e-08;3,29738985018153
218,5;3,5132;3,08350075942274;0,0518054134539944;2,45051196749576e-09;1,12925455704386e-08;3,1353061866198
219;3,3739;2,90528760698331;0,0574057937916928;3,13173602520652e-09;1,23304520261745e-08;2,96269341623719
219,5;3,1638;2,71904902475357;0,0634776209464328;3,99604962179288e-09;1,3460390652432e-08;2,78252666315645
220;2,8764;2,52771309999829;0,0700438306160387;5,090893372902e-09;1,46902048282812e-08;2,59775695039543
220,5;2,5553;2,33411019226597;0,0771264725760792;6,47551827666136e-09;1,6028377364458e-08;2,41123668734594
221;2,24;2,1409068195203;0,084746424002579;8,22379867724527e-09;1,74840800649138e-08;2,22565326923076
221,5;1,9532;1,95054965559225;0,0929230864586166;1,04276827702974e-08;1,90672269103676e-08;2,04347277154578
222;1,7104;1,7652210210256;0,101674068909325;1,32014171747971e-08;2,07885311104907e-08;1,86689512392487
222,5;1,4998;1,58680662533136;0,111014859581627;1,668670944925e-08;2,26595662867266e-08;1,69782152425926
223;1,3191;1,41687570738145;0,120958489931755;2,10590248374119e-08;2,46928320639549e-08;1,53783424306506
223,5;1,1665;1,2566731560483;0,131515194415891;2,65352518315234e-08;2,69018243663129e-08;1,38818840390126
224;1,0381;1,1071227031666;0,142692070167158;3,33830163014891e-08;2,9301110730514e-08;1,24981483601788
224,5;0,9312;0,968839886034075;0,15449274105543;4,19319770532436e-08;3,19064109689964e-08;1,12333270092789
225;0,8515;0,842153189494202;0,166917030934375;5,25874979939582e-08;3,47346835352482e-08;1,00907030775076
225,5;0,7821;0,727131602575659;0,179960651152487;6,58471650045342e-08;3,78042179647073e-08;0,90709235737953
226;0,7228;0,6236167586078;0,193614907611295;8,2320700738486e-08;4,11347337868065e-08;0,817231789674529
226,5;0,674;0,53125786116246;0,207866432784994;1,02753929662621e-07;4,47474863270316e-08;0,73912444144887
227;0,6336;0,449547716562015;0,222696948162661;1,28057560720158e-07;4,86653798423631e-08;0,672244841447617
227,5;0,6014;0,377858379138562;0,238083062529375;1,59341688246847e-07;5,29130884592116e-08;0,615941653922714
