"";"molecule1_1";"molecule2_1";"molecule3_1";"molecule2 + molecule3_1";"- molecule1 + molecule3_1"
"1";3,981072e-08;9,99975800743565e-11;7,29109984427568e-07;1,20996282171105e-15;2,70890025064607e-07
"2";3,981072e-08;1,99990320765905e-10;7,29109981781151e-07;4,83961704751272e-15;2,7089002408137e-07
"3";3,981072e-08;3,97961672938012e-10;7,29109971337439e-07;1,91635309940353e-14;2,70890020201163e-07
"4";3,981072e-08;7,93847490407399e-10;7,29109929711618e-07;7,62547963001325e-14;2,70890004735706e-07
"5";3,981072e-08;1,57939632226916e-09;7,29109765235982e-07;3,01838865419594e-13;2,70889943627217e-07
"6";3,981072e-08;3,15758713399124e-09;7,29109105687209e-07;1,20643300438309e-12;2,70889698581631e-07
"7";3,981072e-08;6,3003936958649e-09;7,29106483282813e-07;4,80315206754462e-12;2,70888724266085e-07
"8";3,981072e-08;1,25618126629755e-08;7,2909606392215e-07;1,90936685122534e-11;2,7088485310682e-07
"9";3,981072e-08;2,49493706775336e-08;7,29055072625449e-07;7,53146612331905e-11;2,70869623397136e-07
"10";3,981072e-08;4,95070362848262e-08;7,28893817376966e-07;2,96481857586894e-10;2,70809711395879e-07
"11";3,981072e-08;9,76929944676822e-08;7,28268954733486e-07;1,15350276615897e-09;2,70577552927651e-07
"12";3,981072e-08;1,91192586080499e-07;7,25899197893602e-07;4,40370695975052e-09;2,69697104842364e-07
"13";3,981072e-08;3,66084634834008e-07;7,17475077359002e-07;1,59576825829961e-08;2,66567247521103e-07
"14";3,981072e-08;6,8619226238972e-07;6,89808121843291e-07;5,39038688051402e-08;2,56287999625469e-07
"15";3,981072e-08;1,25839569953633e-06;6,11867521277656e-07;1,60802150231834e-07;2,27330322880237e-07
"16";3,981072e-08;2,35629973220394e-06;4,36117033768543e-07;4,01850133898032e-07;1,62032830069411e-07
"17";3,981072e-08;4,83273333067643e-06;1,90565044458698e-07;7,38633334661789e-07;7,08016222139434e-08
"18";3,981072e-08;1,07338567705023e-05;4,87981531900053e-08;9,33071614748826e-07;1,81302316839419e-08
"19";3,981072e-08;2,31304237387379e-05;1,10911257087551e-08;9,84788130631089e-07;4,12074362635181e-09
"20";3,981072e-08;4,81071165623369e-05;2,59437797234854e-09;9,96441719029369e-07;9,63902743024881e-10
"21";3,981072e-08;9,80017194756226e-05;6,268434162085e-10;9,99140262188708e-07;2,32894395022749e-10
"22";3,981072e-08;0,000198000421515146;1,53665449212893e-10;9,99789242430642e-07;5,70921236547406e-11
"23";3,981072e-08;0,000396000105395839;3,84225788707346e-11;9,99947303919809e-07;1,42753405873488e-11
"24";3,981072e-08;0,000792000026350013;9,60602883719997e-12;9,99986824993331e-07;3,56897786075915e-12
"25";3,981072e-08;0,00158300000659589;2,40456617939056e-12;9,9999670209825e-07;8,93380980259125e-13
"26";3,981072e-08;0,00316000000165525;6,03428031224152e-13;9,99999185833362e-07;2,24194755241671e-13
"27";3,981072e-08;0,00630800000041539;1,5143161024286e-13;9,99999792306792e-07;5,62621738426313e-14
"28";3,981072e-08;0,0125880000001043;3,80265135493494e-14;9,99999948315759e-07;1,41281883783148e-14
"29";3,981072e-08;0,0251180000000262;9,55058297588303e-15;9,99999986901042e-07;3,54837777149599e-15
"30";3,981072e-08;0,501198;2,39872986006196e-17;9,99999999967106e-07;8,91212582180681e-18
"31";3,981072e-08;0,0999980000000017;6,02583691029327e-16;1,00000000306755e-06;2,23881053137153e-16
