"twoPH","PLP","SB"
1.04756038172629e-06,0.000177507560381038,2.05924396324809e-05
2.35215088052938e-06,0.000157162150878972,4.09378491481402e-05
4.01010828993197e-06,0.000137180108287237,6.09198917536974e-05
6.16966601517659e-06,0.000117689666010938,8.04103340443116e-05
9.04852822808894e-06,9.89485282216589e-05,9.91514718488427e-05
1.30000764988977e-05,8.12000764891902e-05,0.000116899923598707
1.84637234704641e-05,6.50637234559632e-05,0.000133036276654825
2.60676428975312e-05,5.09676428789037e-05,0.000147132357275765
3.62266553492505e-05,3.95266553435481e-05,0.000158573344945059
4.90824578646138e-05,3.07824579264587e-05,0.000167317542828272
