"H";"L";"OH";"HL";"L-";"H2O"
0,000320489792950694;0,000327293669620107;2,80236175548005e-16;0,00984270176871473;4,56166515283288e-09;6,81300017301839e-06
0,000144815394409726;0,000694372558467839;5,00301728233769e-14;0,00943560602358625;2,14179459284501e-08;0,000549600013252206
7,48244161542317e-05;0,00125667437512966;2,08244792301985e-13;0,0088232506044622;7,50204081632837e-08;0,00118200002665783
4,46602910627902e-05;0,00193227376593692;5,57288973169373e-13;0,00809753297177881;1,93262284290596e-07;0,00188800003974056
3,29426799300425e-05;0,00244128063203818;9,64001882330223e-13;0,00754638834449791;3,31023463932851e-07;0,0024090000477706
2,48799403495712e-05;0,00298280889779496;1,56781797198746e-12;0,00696365558171164;5,35520493396148e-07;0,0029590000552358
1,2550110653497e-05;0,00451333733148972;4,73097696589186e-12;0,00531505628129388;1,60638721640046e-06;0,00450400006952423
9,68725679601052e-06;0,00512396188794407;6,96601368405146e-12;0,00465767543111297;2,36268094296218e-06;0,00511900007246139
7,8939927477496e-06;0,00559755919711815;9,34503620840023e-12;0,00414627340973957;3,16739314228429e-06;0,00559600007335086
6,22906538852753e-06;0,00612344685776672;1,29644503190764e-11;0,00357916204490461;4,39109732867863e-06;0,0061260000728142
