"H","L","OH","HL","L-","H2O"
2.53152737520207e-08,5.05457117984775e-06,3.54777072503428e-12,0.0101640535585471,8.91870273066633e-07,6.81299662552833e-06
1.53408069164666e-09,8.05450695995751e-05,4.72274828303841e-09,0.00981492905953396,0.000234525870866474,0.000549595290553993
9.98776344441848e-10,0.000118856804769018,1.5600679204818e-08,0.00942957889856673,0.000531564296664238,0.00118198442619464
7.63352985827454e-10,0.000148621474847146,3.26038653344496e-08,0.00901170518283226,0.000869673342320601,0.00188796743643602
6.604866302119e-10,0.000165838512746203,4.8079961356445e-08,0.00870060445336377,0.00112155703389002,0.00240895196878055
5.82377717272613e-10,0.000181085332450355,6.69777251906016e-08,0.00837699053144791,0.00138892413610173,0.00295893307910036
4.42519750023777e-10,0.000212564958558954,1.34169188575413e-07,0.00747178438405381,0.00214565065738722,0.0045038659050818
4.04193252164502e-10,0.00022157076813069,1.66948266270259e-07,0.00711379788796987,0.00244863134389944,0.00511883313116202
3.78420114518774e-10,0.000227399530269601,1.94934348395638e-07,0.00683539751282791,0.0026842029569025,0.0055958051482673
3.52962783544538e-10,0.000232825934273329,2.28787273606039e-07,0.00652770125001714,0.00294647281570953,0.00612577129853966
