"Alb";"PLP";"Com"
2,34648567101941e-07;4,37376485670778e-05;4,16935143335173e-06
5,152874852573e-07;3,96142874852038e-05;8,29271251565692e-06
8,55562307650617e-07;3,55505623075607e-05;1,23564376937376e-05
1,2743536896678e-06;3,15653536895315e-05;1,63416463122164e-05
1,79811441739995e-06;2,76841144172027e-05;2,0222885585016e-05
2,46322882911319e-06;2,39452288288331e-05;2,39617711738935e-05
3,31972581875013e-06;2,03977258183536e-05;2,75092741849526e-05
4,43215589043646e-06;1,71061558898758e-05;3,08008441141692e-05
5,87518875943608e-06;1,41451887586833e-05;3,37618112465423e-05
7,71821966032863e-06;1,15842196595785e-05;3,63227803483148e-05
