"wavelength";"Alb";"PLP";"Com"
"200";25228,58425;20006,579;80925,30272
"200.5";47403,18199;18694,4825;69122,71644
"201";8896,395499;8015,2985;70180,7172
"201.5";23701,59099;7794,6849;81136,90287
"202";16531,36179;7387,5914;74318,67574
"202.5";21045,95055;7055,4434;89647,93122
"203";17394,44493;6697,2866;81419,03641
"203.5";9493,9146;6650,99;83417,48229
"204";25494,1483;6739,6307;84240,37177
"204.5";8232,485387;6792,7769;84945,70561
"205";18788,65617;6888,6746;88213,75241
"205.5";13012,63819;6947,3293;92798,42238
"206";20315,64942;7063,4178;91599,35485
"206.5";331,9550559;7148,658;92163,62192
"207";14606,02246;7254,7591;92187,13305
"207.5";16332,18875;7379,9728;90682,42086
"208";20581,21347;7508,9228;89953,57589
"208.5";21178,73257;7623,263;91975,5329
"209";16796,92583;7771,3018;91622,86598
"209.5";13942,11235;7896,6116;92657,35561
"210";20315,64942;8064,7689;92398,7332
"210.5";14008,50336;8215,562;92633,84448
"211";18589,48313;8382,8333;91999,04403
"211.5";12747,07415;8548,2363;91458,28808
"212";13610,15729;8707,2685;92093,08854
"212.5";11153,68988;8878,1563;92586,82223
"213";15070,75954;9055,415;92727,889
"213.5";20846,77751;9217,1777;92539,79997
"214";15004,36853;9399,0589;92680,86674
"214.5";19850,91235;9567,1924;92680,86674
"215";19386,17527;9733,4577;92680,86674
"215.5";7568,575275;9892,4661;92657,35561
"216";12149,55505;10049,6063;92586,82223
"216.5";8896,395499;10194,0048;92210,64418
"217";21045,95055;10338,4033;92610,33336
"217.5";4049,851682;10478,1792;92375,22208
"218";17195,2719;10608,83;92116,59967
"218.5";22705,72583;10733,9961;92586,82223
"219";20116,47639;10825,4397;92492,77772
"219.5";26224,44942;10919,6137;92563,3111
"220";21643,46965;11021,9308;92563,3111
"220.5";14141,28538;11102,381;92234,15531
"221";17062,48988;11172,82;92539,79997
"221.5";20382,04043;11244,0252;92210,64418
"222";25693,32133;11286,1304;92539,79997
"222.5";21842,64268;11327,2297;92516,28884
"223";23568,80897;11346,4621;92539,79997
"223.5";19784,52133;11358,3415;92539,79997
"224";25759,71234;11333,7442;92539,79997
"224.5";27751,44268;11310,8952;92539,79997
"225";25427,75729;11308,1647;92563,3111
"225.5";26423,62245;11267,0893;92422,24433
"226";27021,14155;11223,2595;92516,28884
"226.5";29012,87189;11174,9271;92351,71095
"227";30473,47414;11143,839;92163,62192
"227.5";32199,64043;11100,0093;92586,82223
"228";30274,3011;11071,6755;92445,75546
"228.5";35651,97301;11025,0914;92610,33336
"229";40100,17076;10984,016;92610,33336
"229.5";46141,75278;10936,5696;92516,28884
"230";50988,29659;10878,13;92633,84448
"230.5";57892,96176;10832,432;91999,04403
"231";66656,57523;10744,7724;91834,46613
"231.5";77279,13702;10689,9493;92680,86674
"232";87503,35275;10590,4103;92680,86674
"232.5";96798,09431;10506,3674;92704,37787
"233";101777,4202;10398,5893;92727,889
"233.5";111072,1617;10279,8179;92727,889
"234";122956,1527;10151,9214;92751,40012
"234.5";131387,8111;9992,0745;92774,91125
"235";135039,3168;9849,5681;92469,26659
"235.5";138026,9123;9663,2319;92821,93351
"236";136300,746;9465,9023;92845,44464
"236.5";129196,9078;9250,3224;92868,95576
"237";120632,4673;8983,5598;92774,91125
"237.5";111603,2898;8730,521;92751,40012
"238";101644,6381;8430,8982;92774,91125
"238.5";92748,24263;8134,0059;93010,02253
"239";84316,58421;7821,5214;92727,889
"239.5";76615,22691;7504,5344;90917,53214
"240";69776,95276;7184,7931;87249,79616
"240.5";63469,8067;6858,6809;81442,54754
"241";58025,74378;6548,0647;75541,2544
"241.5";52913,63592;6237,4485;69663,47239
"242";48465,43817;5949,6813;64561,5576
"242.5";44415,58648;5662,8002;59741,77635
"243";41029,64491;5412,5157;56074,04038
"243.5";37909,26739;5167,716;52453,32666
"244";35187,23593;4953,0222;49490,92453
"244.5";32730,76852;4749,3218;46669,58916
"245";30606,25616;4563,8478;44459,54313
"245.5";28880,08987;4400,3606;42484,60837
"246";27419,48762;4255,9859;40932,87392
"246.5";26158,05841;4130,8437;39569,22849
"247";25162,19324;4011,1862;38464,20548
"247.5";24166,32807;3900,6539;37453,22697
"248";23369,63594;3805,6175;36606,82636
"248.5";22572,9438;3709,6951;35830,95914
"249";21975,4247;3631,137;35219,66981
"249.5";21510,68762;3549,8245;34702,42499
"250";21178,73257;3479,5054;34420,29145
"250.5";21045,95055;3409,1863;34279,22468
"251";20979,55954;3346,124;34302,73581
"251.5";21045,95055;3275,8049;34467,31371
"252";21178,73257;3211,8567;34655,40273
"252.5";21377,9056;3147,9084;34819,98063
"253";21444,29661;3078,4753;34914,02514
"253.5";21510,68762;3014,5271;34914,02514
"254";21510,68762;2950,5788;34867,00289
"254.5";21643,46965;2877,5054;34843,49176
"255";21776,25167;2813,5572;34890,51401
"255.5";22041,81571;2741,3698;35078,60304
"256";22373,77077;2680,1758;35360,73657
"256.5";22838,50785;2613,4733;35783,93688
"257";23436,02695;2549,525;36395,22621
"257.5";24232,71908;2477,3377;37171,09343
"258";25029,41122;2405,1503;37899,9384
"258.5";25626,93032;2340,316;38487,7166
"259";26025,27639;2279,122;38816,8724
"259.5";26290,84043;2215,1738;39075,49481
"260";26490,01346;2151,2255;39193,05045
"260.5";26755,57751;2087,2772;39381,13947
"261";27087,53256;2023,329;39616,25075
"261.5";27485,87863;1959,3807;39968,91767
"262";27950,61571;1904,5576;40274,56234
"262.5";28348,96178;1857,9735;40603,71813
"263";28880,08987;1808,6352;41097,45182
"263.5";29676,782;1752,926;41873,31904
"264";30672,64717;1703,5876;42696,20852
"264.5";31469,3393;1663,3744;43401,54236
"265";32066,8584;1623,1612;43918,78718
"265.5";32465,20447;1591,1871;44130,38733
"266";32863,55054;1550,0878;44389,00974
"266.5";33328,28762;1518,1137;44647,63215
"267";33925,80672;1486,1395;45164,87697
"267.5";34722,49885;1454,1654;45823,18855
"268";35452,79997;1431,3164;46552,03352
"268.5";36183,1011;1404,8271;47186,83398
"269";36647,83818;1387,4629;47586,52316
"269.5";37178,96627;1364,6139;47892,16782
"270";37510,92132;1347,2496;48291,857
"270.5";38042,04941;1323,5146;48715,0573
"271";38506,78649;1307,0364;49114,74648
"271.5";39104,30559;1289,6722;49584,96904
"272";39635,43368;1275,0623;50149,23611
"272.5";40232,95278;1256,812;50619,45867
"273";40830,47188;1242,2021;51254,25913
"273.5";41361,59997;1231,2087;51818,5262
"274";41959,11907;1216,5988;52382,79328
"274.5";42490,24716;1199,2346;52900,03809
"275";43021,37525;1190,1095;53605,37193
"275.5";43486,11233;1173,6313;54028,57224
"276";44017,24042;1155,3811;54451,77254
"276.5";44415,58648;1149,8963;55039,55075
"277";44747,54154;1135,2863;55133,59526
"277.5";45013,10559;1123,4069;55439,23992
"278";45079,4966;1106,9288;55697,86233
"278.5";45079,4966;1091,4328;54969,01736
"279";44946,71457;1083,1937;55298,17315
"279.5";44614,75952;1074,9546;54945,50623
"280";44282,80446;1057,5904;54334,2169
"280.5";43751,67637;1049,3513;53863,99434
"281";43220,54828;1033,8554;53205,68276
"281.5";42755,81121;1025,6163;52476,83779
"282";42158,2921;1008,2521;52030,12636
"282.5";41759,94604;1000,013;51348,30364
"283";41361,59997;990,8879;50972,12559
"283.5";40896,86289;973,5237;50384,34739
"284";40232,95278;965,2846;49608,48017
"284.5";39502,65166;958,9137;48691,54617
"285";38639,56851;950,6747;47751,10105
"285.5";37643,70334;933,3104;46528,52239
"286";36382,27413;926,9396;45117,85471
"286.5";34921,67189;918,7005;43378,03124
"287";33328,28762;909,5754;41638,20776
"287.5";31535,73031;909,5754;39498,69511
"288";29676,782;894,9655;37194,60456
"288.5";27751,44268;894,9655;34961,0474
"289";25958,88537;889,4807;32868,557
"289.5";24099,93706;888,5946;30634,99984
"290";22373,77077;883,1098;28471,97606
"290.5";20647,60448;874,8708;26450,01905
"291";18855,04718;876,739;24357,52865
"291.5";17328,05392;877,625;22453,12728
"292";15801,06066;871,2542;20666,28155
"292.5";14340,45842;872,1403;18879,43582
"293";13079,0292;876,7628;17351,21249
"293.5";11817,59999;885,8879;15893,52256
"294";10755,34381;876,7628;14600,41051
"294.5";9759,478645;885,8879;13495,3875
"295";8830,004488;894,127;12437,38673
"295.5";8099,703365;899,6356;11590,98612
"296";7435,793253;906,0064;10815,1189
"296.5";6771,883141;916,9998;10109,78506
"297";6307,146063;926,1249;9545,517985
"297.5";5776,017973;937,1183;9004,76204
"298";5377,671906;946,2434;8534,539479
"298.5";4979,325839;969,0924;8087,828046
"299";4647,370783;977,3315;7688,13887
"299.5";4249,024716;989,2109;7311,960821
"300";4049,851682;1006,5751;6982,805028
"300.5";3717,896627;1021,1851;6653,649236
"301";3452,332582;1038,5493;6395,026827
"301.5";3253,159548;1055,9135;6159,915547
"302";3053,986515;1076,032;5924,804266
"302.5";2854,813481;1098,881;5713,204114
"303";2722,031459;1116,2452;5548,626218
"303.5";2522,858425;1148,2193;5360,537193
"304";2323,685392;1165,5835;5219,470425
"304.5";2190,903369;1192,0729;5078,403657
"305";2058,121347;1214,9219;4960,848017
"305.5";1991,730336;1235,0404;4866,803505
"306";1925,339324;1258,7754;4772,758992
"306.5";1726,166291;1293,5039;4678,71448
"307";1726,166291;1310,8681;4631,692224
"307.5";1659,77528;1342,8422;4561,15884
"308";1526,993257;1366,5773;4514,136584
"308.5";1526,993257;1400,4196;4490,625456
"309";1460,602246;1424,1547;4467,114328
"309.5";1394,211235;1449,758;4443,6032
"310";1327,820224;1481,7321;4420,092072
"310.5";1327,820224;1508,2215;4396,580944
"311";1327,820224;1531,0704;4396,580944
"311.5";1261,429213;1565,7989;4396,580944
"312";1195,038201;1595,0187;4396,580944
"312.5";1195,038201;1618,7538;4396,580944
"313";1195,038201;1647,1114;4396,580944
"313.5";1128,64719;1669,9603;4420,092072
"314";1128,64719;1701,9345;4420,092072
"314.5";1062,256179;1728,4238;4443,6032
"315";1062,256179;1757,6437;4467,114328
"315.5";995,8651678;1789,6178;4467,114328
"316";1062,256179;1806,982;4490,625456
"316.5";1062,256179;1838,9561;4514,136584
"317";995,8651678;1856,3204;4537,647712
"317.5";995,8651678;1888,2945;4561,15884
"318";995,8651678;1905,6587;4584,669968
"318.5";929,4741566;1937,6328;4608,181096
"319";929,4741566;1954,997;4631,692224
"319.5";929,4741566;1978,7321;4655,203352
"320";929,4741566;2004,3354;4678,71448
"320.5";863,0831454;2020,8135;4702,225608
"321";929,4741566;2036,3095;4725,736736
"321.5";929,4741566;2060,0446;4749,247864
"322";863,0831454;2073,7684;4772,758992
"322.5";863,0831454;2091,1327;4796,27012
"323";863,0831454;2105,7426;4819,781249
"323.5";863,0831454;2123,1068;4843,292377
"324";863,0831454;2138,6028;4866,803505
"324.5";796,6921343;2146,8418;4890,314633
"325";796,6921343;2163,32;4913,825761
"325.5";796,6921343;2172,4451;4913,825761
"326";796,6921343;2187,0551;4937,336889
"326.5";730,3011231;2187,0551;4960,848017
"327";796,6921343;2193,4259;4984,359145
"327.5";796,6921343;2201,665;4984,359145
"328";796,6921343;2210,7901;5007,870273
"328.5";796,6921343;2212,6583;5007,870273
"329";796,6921343;2219,0292;5031,381401
"329.5";796,6921343;2210,7901;5031,381401
"330";730,3011231;2210,7901;5054,892529
"330.5";730,3011231;2210,7901;5054,892529
"331";730,3011231;2219,0292;5054,892529
"331.5";730,3011231;2219,0292;5054,892529
"332";663,9101119;2210,7901;5054,892529
"332.5";663,9101119;2210,7901;5054,892529
"333";663,9101119;2201,665;5054,892529
"333.5";663,9101119;2196,1802;5054,892529
"334";663,9101119;2193,4259;5054,892529
"334.5";663,9101119;2196,1802;5031,381401
"335";663,9101119;2187,0551;5031,381401
"335.5";597,5191007;2187,0551;5007,870273
"336";663,9101119;2185,1868;5007,870273
"336.5";663,9101119;2178,816;4984,359145
"337";663,9101119;2178,816;4960,848017
"337.5";663,9101119;2178,816;4937,336889
"338";663,9101119;2178,816;4913,825761
"338.5";663,9101119;2185,1868;4913,825761
"339";597,5191007;2187,0551;4866,803505
