"H","tris","L","Cu","HTRIS","CuTRIS","CuTris-H","CuTris-2H","CuTris2-H","CuTris2-2H","CuTris2-3H","Cu2Tris2-2H","Cu2Tris2-3H","CuOH","Lhydr","CuL2"
4.32083422770375e-08,0.00260004320834228,9.97082269091307e-05,7.79475807210104e-24,0.0173999567925249,4.75098003836977e-22,2.82628270632232e-21,3.35465603151742e-22,3.59911866976543e-20,1.14981656697876e-20,3.75890160254976e-24,4.70360888702724e-39,4.53799065987928e-39,2.02411431284287e-24,1.77309086923996e-09,5.24602235504692e-20
4.33909602520067e-08,0.00248576524983971,9.11741106621422e-05,7.58276680459056e-10,0.0167054959607219,4.41863178838086e-08,2.61751121627628e-07,3.09377902032093e-08,3.18675491116387e-06,1.01379326683906e-06,3.30027508858759e-10,4.03438279153909e-11,3.87594710332422e-11,1.96077806068499e-10,1.62133043719098e-09,4.26713400386875e-06
4.38208187204286e-08,0.00236058426626295,8.32591198487635e-05,1.75263271314843e-09,0.0160213827393133,9.69863067692244e-08,5.688921411907e-07,6.65808671294538e-08,6.57732713055283e-06,2.07190078580804e-06,6.6786466664597e-10,1.90572340923754e-10,1.81292309425401e-10,4.48756163209045e-10,1.48057978525019e-09,8.22469978584415e-06
4.40945919721941e-08,0.00224435271633519,7.60392371916357e-05,3.02354499168688e-09,0.0153276804856449,1.59077056350901e-07,9.27304180606744e-07,1.07854157205231e-07,1.01932653112865e-05,3.1910087861784e-06,1.02221599386619e-09,5.06342562873272e-10,4.78695238052945e-10,7.69362664751325e-10,1.35219009852952e-09,1.18347053091958e-05
4.46491705446107e-08,0.00211763457744791,6.92222358032673e-05,4.69917145612473e-09,0.0146441583045158,2.33277209107509e-07,1.34294713024273e-06,1.54257227053158e-07,1.39286791731088e-05,4.30622323387865e-06,1.36233258517153e-09,1.06198365117564e-09,9.91526750712729e-10,1.18088578788557e-09,1.23096476645809e-09,1.52432666160105e-05
4.5038411592185e-08,0.00199996623030819,6.30447213812503e-05,6.81316246253371e-09,0.0139510125080054,3.1942684179848e-07,1.82300702452938e-06,2.07589449222128e-07,1.78571030439633e-05,5.47303139295358e-06,1.71650421321416e-09,1.95693627746878e-09,1.81131347807278e-09,1.6973276243265e-09,1.12111129943918e-09,1.83320787537356e-05
4.5490687756996e-08,0.00188173444080275,5.73099241314864e-05,9.53456804114165e-09,0.013258086145603,4.20590400392343e-07,2.37649471737275e-06,2.67925685430535e-07,2.19025755471764e-05,6.64618895214408e-06,2.06371718838582e-09,3.32562829456996e-09,3.04755255452403e-09,2.35168159098967e-09,1.01913058073915e-09,2.119952836897e-05
4.63018399547869e-08,0.00175353389945683,5.17231438377436e-05,1.32479487634114e-08,0.0125751280355333,5.44581402317956e-07,3.02318383299519e-06,3.34862339415507e-07,2.59644257936586e-05,7.74070422255654e-06,2.36146886319376e-09,5.38181931363905e-09,4.84541370584021e-09,3.21033527149448e-09,9.19782017091412e-10,2.39929681901207e-05
4.69359721787791e-08,0.00163456246122651,4.67020858676102e-05,1.79500577125871e-08,0.011882486748257,6.87808233181744e-07,3.76670451224484e-06,4.11581394730293e-07,3.01552597105916e-05,8.86864468066439e-06,2.6690175998999e-09,8.35455081018494e-09,7.42022863007409e-09,4.29101498794861e-09,8.30493577042408e-10,2.65035418194067e-05
4.80177963895529e-08,0.00150592614801056,4.17196532530361e-05,2.4607826925347e-08,0.0111996873715193,8.68714234492686e-07,4.65023298165572e-06,4.96675212562051e-07,3.42987573880347e-05,9.85998287172042e-06,2.9005071125406e-09,1.2733547834748e-08,1.10547060348157e-08,5.75004227734932e-09,7.41892003738373e-10,2.89948024274802e-05
