"wavelength";"S1";"S2";"S3";"S4";"S5";"S6";"S7";"S8";"S9";"S10"
"190";-0,829320503408576;-0,689168295303801;-0,54718694047454;-0,38553510988767;-0,263197823315385;-0,0575185270926222;0,110476143346735;0,16648700291748;0,479425581875005;0,267917724112171
"190.5";-0,788526338449097;-0,6439082540771;-0,455287729656698;-0,340749611726082;-0,206524464901725;-0,0678196568123703;0,0416006280374903;0,203020373585979;0,223144401702454;0,301309789621433
"191";-0,79949139568601;-0,673674529814532;-0,524352167811774;-0,389170956327368;-0,253642111848481;-0,0498981015712256;0,0731015843522839;0,213494240284045;0,263735261496078;0,357757724934649
"191.5";-0,77918111476127;-0,635615585139518;-0,485998094657504;-0,336885790222501;-0,209281051171247;-0,0274172927595621;0,0283389169804382;0,140807518445252;0,270838421990352;0,340093093417622
"192";-0,750131353791127;-0,619296257996883;-0,467983595221979;-0,34048028517518;-0,185286015166099;-0,0502206328532968;0,0326083951725165;0,199446775702762;0,227794266049365;0,291137638432079
"192.5";-0,757848288763843;-0,626991273690144;-0,468032839184574;-0,352299456793202;-0,225935803307297;-0,023403917062;0,0689799570662465;0,144736739411586;0,247716605704587;0,332021325115681
"193";-0,807220891881287;-0,644285165480222;-0,498318327047259;-0,333517413879748;-0,190887100932933;-0,0840870932325214;0,0544565756582616;0,145125967225503;0,268991863050557;0,33498485689695
"193.5";-0,823290279433111;-0,666875418083232;-0,508131412931698;-0,360459457137076;-0,224563079404732;-0,0765341457411289;0,0447403537902891;0,16056067124723;0,25758423560708;0,383974161091903
"194";-0,778063533758904;-0,636819510532914;-0,493393457414039;-0,355935930680299;-0,216698551210747;-0,0903198752893226;0,07306809422194;0,174735310842012;0,273640878285786;0,328143576811948
"194.5";-0,801757794473531;-0,651433831630884;-0,50591654377098;-0,366306506732775;-0,20951486081371;-0,0791417721815997;0,0440023458290897;0,159827206547447;0,273796625901016;0,372110229012992
"195";-0,811275977960763;-0,663569666223753;-0,500526217261623;-0,369912957357785;-0,234082446804045;-0,0767045590503118;0,0544520805045599;0,150766071114192;0,315430502266887;0,349989847012572
"195.5";-0,806815183813333;-0,662841450101451;-0,499953202248121;-0,348821161898466;-0,223780007338033;-0,07223458163653;0,0492310152450422;0,155085646005507;0,271439784204519;0,346972387306986
"196";-0,775772576520274;-0,627407840901186;-0,442047223490375;-0,358255561396642;-0,223892557788366;-0,0938999181017839;0,0436028676460524;0,13974596081494;0,288633584154979;0,35096950791074
"196.5";-0,790082195534347;-0,637062849659954;-0,487445482055142;-0,33456962678741;-0,204188434328127;-0,0821273485082764;0,0823714418986497;0,137113814219713;0,26121328177055;0,332641253137974
"197";-0,811228094624478;-0,650204728260596;-0,504842308003318;-0,340430484267954;-0,218973860852639;-0,0800356335109555;0,0587194346200211;0,137917739428194;0,264332921650146;0,363887652117233
"197.5";-0,823440929508333;-0,652339957634658;-0,506817023129337;-0,366147105173491;-0,222698844927199;-0,0876360866316055;0,0579211091577043;0,168629049456307;0,261054884296001;0,365527296389857
"198";-0,826817584418749;-0,672051862910498;-0,514629333865716;-0,386665384802592;-0,227620247808162;-0,0579621455049048;0,0380720053598924;0,183480110100958;0,248118474387961;0,383816221236699
"198.5";-0,813698814141658;-0,662516492401829;-0,50439687283021;-0,37086842579213;-0,197813815163942;-0,0968891635073315;0,0889782261591067;0,150461005260301;0,254465830887608;0,348463526348023
"199";-0,804102921984273;-0,657415833426235;-0,505733198280801;-0,36355217908998;-0,219082589569966;-0,0750991896657255;0,0629512987144164;0,161104382360403;0,265804290063047;0,351181772845491
"199.5";-0,805157570312217;-0,651240293900382;-0,502916832855241;-0,352802514604854;-0,21354282465395;-0,0689493226708643;0,0454896251347128;0,183378221255789;0,268039964814391;0,339891425531175
"200";-0,797180273000807;-0,648608081564645;-0,496960131461263;-0,359681568205822;-0,19740254533776;-0,0741162170862497;0,0459709833202983;0,154960818970522;0,250830851341039;0,359640848622192
"200.5";-0,799139774745753;-0,644445661759442;-0,500653492450309;-0,349836510043369;-0,214921647814963;-0,0499273819309967;0,0724596845178319;0,149327542552037;0,251829456195071;0,331559310555451
"201";-0,803874790481132;-0,655973350970149;-0,504785085408599;-0,359467348476111;-0,21473394880733;-0,0591591568747906;0,0451130912549123;0,165079774061953;0,251970316530043;0,365550104067653
"201.5";-0,795000053227259;-0,634886057151023;-0,491451054699922;-0,347798516954423;-0,20694563493535;-0,0600039415236528;0,0513556068944408;0,171949898291616;0,242898830341219;0,332443692868571
"202";-0,807411775148877;-0,653904435154759;-0,497663446219721;-0,354172951419452;-0,218866980234018;-0,0739782509482284;0,0555431793049543;0,162930333420916;0,262830780909307;0,341353157952448
"202.5";-0,814459419758665;-0,648395902449424;-0,506596616803328;-0,3478209969312;-0,213938027972502;-0,0690762169233812;0,0510642319372532;0,162517359068553;0,267868522673516;0,341096239388831
"203";-0,788635770942659;-0,642067328632773;-0,496899258873245;-0,352535394575431;-0,195497858218918;-0,0785308377746337;0,0626223290787351;0,162010546341802;0,255685654990116;0,33044661306665
"203.5";-0,802786019448641;-0,647648247691293;-0,493148019045622;-0,347353849385781;-0,204883692763265;-0,0630295877680948;0,054213065005357;0,160057741228252;0,266967089644026;0,32605874462994
"204";-0,769740826516176;-0,627546951090842;-0,473756530089225;-0,340771278430775;-0,202138486509719;-0,068333836469488;0,0516968626050114;0,152500900566714;0,272553119227619;0,315888815886462
"204.5";-0,785658909719685;-0,639824879888852;-0,490075797896538;-0,347393187096459;-0,215329488982165;-0,0811661541268277;0,0613439812025381;0,159546113503465;0,261456179306971;0,33898826919858
"205";-0,777622279084478;-0,634455687867838;-0,489540517454199;-0,347574732809449;-0,220532183138179;-0,079161061702755;0,0384419464235579;0,148837343954733;0,262434215550023;0,362980904455589
"205.5";-0,780552771901035;-0,62682641837449;-0,484978455691513;-0,330172506297978;-0,206004514665163;-0,0721039343227403;0,05126407475633;0,153422364451332;0,260156740066601;0,326217639749757
"206";-0,789948345186851;-0,639024362454168;-0,482586813763759;-0,339315982688452;-0,203038025214784;-0,0657940989183623;0,0508513036495266;0,154812816286003;0,250783421709722;0,337986584474621
"206.5";-0,773868179306673;-0,626597178874082;-0,483743030577637;-0,341283414701449;-0,201730957071847;-0,0641618827217378;0,0512552685905708;0,14906846188193;0,253794125800209;0,334054387597416
"207";-0,780309162756641;-0,634771287462002;-0,484586946416851;-0,350009815677621;-0,200264164998331;-0,0729746965438129;0,0494253849240981;0,168045466693812;0,246678103511559;0,3360889076676
"207.5";-0,760028685650994;-0,618744159073176;-0,4713309196725;-0,335229803066163;-0,201359625089865;-0,074558742191654;0,048249806753865;0,15580295771729;0,253567785165921;0,322949751009275
"208";-0,760821626293496;-0,617964896908464;-0,476870645579896;-0,337698659463244;-0,204685868161867;-0,0685092798727715;0,0457860626973556;0,163493397419548;0,241934492837427;0,336462588681067
"208.5";-0,756296306269713;-0,61827993554105;-0,473704698929586;-0,325493078928042;-0,205365849543243;-0,0727609022080631;0,0526586118741645;0,152156001456384;0,240707583389143;0,334643961170716
"209";-0,724281552214774;-0,58895086935268;-0,448985191875171;-0,327640584555376;-0,192803632004626;-0,0770289918316475;0,055286304651853;0,139796040025544;0,249649551154734;0,310647811736862
