"INH";"PL";"SB"
8,6101579127245e-07;0,000132161015791203;1,48389842099945e-05
1,91583404867178e-06;0,000117615834048516;2,93841659538801e-05
3,24942444462177e-06;0,000103249424444352;4,37505755592757e-05
4,94810146701063e-06;8,93481014665897e-05;5,76518985383156e-05
7,18622894797177e-06;7,58862289473363e-05;7,11137710589554e-05
1,01530739798303e-05;6,32530739788807e-05;8,37469260289971e-05
1,43038932016349e-05;5,13038932002018e-05;9,56961068098594e-05
1,94967457365107e-05;4,14967457345855e-05;0,000105503254279156
2,67509439304752e-05;3,27509439291981e-05;0,00011424905609576
3,58833714345787e-05;2,58833714392299e-05;0,000121116628626826
