"wavelength";"INH";"PL";"SB"
"190";3590;553,74149659864;39142,9742285785
"190.5";6890;1481,63265306123;39319,0815369743
"191";7680;857,142857142856;39524,1569600171
"191.5";1280;1821,76870748299;40590,4937031724
"192";6810;2571,42857142857;39999,3761787475
"192.5";2860;2376,87074829932;39908,6087178228
"193";0;914,285714285716;43056,1504299019
"193.5";5169,99999999999;374,149659863946;42084,3608748665
"194";8360;1921,08843537415;40734,6701585095
"194.5";4910;1070,74829931973;41479,3418525998
"195";3229,99999999999;624,489795918369;42045,3704383354
"195.5";10390;1014,96598639455;41156,6084504819
"196";5460;1976,87074829932;40993,12480798
"196.5";3140;1594,55782312926;41904,5511432549
"197";3609,99999999999;733,333333333333;41981,9876831788
"197.5";5340;491,156462585034;42373,6256851053
"198";11860;487,074829931971;40781,5670545825
"198.5";11060;851,700680272108;41075,6077729959
"199";7860;980,952380952382;41963,1102284396
"199.5";2710;1069,38775510204;42722,0221498483
"200";6450;1197,27891156462;41939,6708056493
"200.5";6390;1325,17006802721;41469,9113349891
"201";4650;983,673469387754;42462,2601532631
"201.5";2330;1321,08843537415;42460,6041270425
"202";6160;881,632653061226;42263,9631738475
"202.5";2330;741,496598639452;43187,6210230372
"203";3630;1307,48299319728;42584,4725408192
"203.5";2650;1156,46258503401;42707,4354570112
"204";2340;2040,81632653061;42329,1584772082
"204.5";7640;1647,61904761905;41605,8326620077
"205";12030;1921,08843537414;40577,7493360045
"205.5";3560;1823,12925170068;42355,3485863146
"206";2110;1512,92517006803;42798,0320739195
"206.5";5320;2027,21088435375;41784,7632825297
"207";4890;1695,23809523809;42016,7992145065
"207.5";3490;2210,8843537415;42108,8359737142
"208";4020;2291,15646258504;41883,5988973011
"208.5";5010;2451,70068027211;41562,8168426536
"209";6300;3510,20408163265;40668,8177063923
"209.5";6740;4552,38095238095;39695,5695077659
"210";6720;5904,7619047619;38224,805217808
"210.5";6910;6741,49659863946;36639,0437664149
"211";6920;7793,19727891157;34475,1707862414
"211.5";6920;8677,55102040817;32350,8246299722
"212";6780;8751,02040816327;29732,5985197072
"212.5";6680;9523,80952380952;27968,956003892
"213";6560;8908,84353741497;26321,8717031029
"213.5";6440;8889,79591836735;24927,3011117016
"214";6300;8481,63265306123;23736,0380337405
"214.5";6160;8151,02040816326;22695,8018921391
"215";6020;7710,20408163265;21927,3371631772
"215.5";5870;7386,39455782313;21127,6225350312
"216";5720;7035,37414965986;20504,2811081323
"216.5";5570;6703,40136054422;19970,0341919972
"217";5420;6425,85034013606;19498,1309030597
"217.5";5260;6148,29931972789;19083,1587775102
"218";5120;5921,08843537415;18741,0613875815
"218.5";4980;5740,13605442177;18460,4105341456
"219";4840;5606,80272108844;18170,6812028509
"219.5";4720;5499,31972789115;17939,0443881321
"220";4600;5425,85034013605;17730,970087315
"220.5";4480;5380,95238095238;17552,2426534024
"221";4370;5375,51020408163;17381,4702593731
"221.5";4270;5389,1156462585;17260,6651737603
"222";4190;5424,48979591837;17133,3464933441
