"wavelength","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10"
"190",1.14029780231243,1.29214536807595,1.44480871687669,1.59853768060946,1.75366890040808,1.91064638089755,2.0700276993359,2.23244907429946,2.39851810215064,2.56863883874757
"190.5",1.18138648663902,1.35027681993568,1.52155423414882,1.69594976795075,1.8744484744617,2.05834956550493,2.24928458031489,2.44911517223921,2.65961924252743,2.88197910802439
"191",1.51659790880935,1.59089518000057,1.66904672895772,1.75223292040211,1.84204426109594,1.9405785111985,2.05047002020004,2.17472468918082,2.31621318968292,2.47684453848661
"191.5",1.60110870200773,1.66910726974222,1.74036485031895,1.81587950978787,1.89699611281065,1.9854884358804,2.08358397253572,2.19382438448812,2.31863698912098,2.45963596957867
"192",1.93443645579763,1.91260750638193,1.89449591428403,1.88124011261665,1.87437410653214,1.87592113476748,1.88842196344018,1.91477571115451,1.95775107090872,2.01918924303358
"192.5",0.842615169287322,1.10578435176106,1.36677094044225,1.6249065204241,1.87929042226945,2.12873472995873,2.3717476685879,2.60662706165675,2.83174731021606,3.04602737952448
"193",1.20799829879418,1.38710304323344,1.56737641948702,1.74917631866954,1.93298498853692,2.11943847802226,2.30933553200369,2.50358755122777,2.70306493432614,2.90834650251566
"193.5",1.19956393227616,1.35283849399535,1.51053335876597,1.674002235401,1.84506920673028,2.02614010237909,2.22023614287107,2.4308046650419,2.66113791686843,2.91342526642723
"194",1.94911284361041,1.97544104806397,2.00765780635107,2.04756647609842,2.09759702869381,2.16095441572041,2.24166338830713,2.34431635297065,2.47329911295091,2.63152825827091
"194.5",2.08179320395196,2.07438099705034,2.07095179539239,2.07272538622744,2.08134539701535,2.09897965016586,2.12835047875158,2.17256417673773,2.23458729207419,2.31639260002721
"195",1.58945282273791,1.64611112259605,1.70682024726932,1.77282075361278,1.84578425551943,1.92791548742345,2.02198313620595,2.13114638743351,2.25842230116896,2.40581724358912
"195.5",1.55794894060877,1.64281151721724,1.73360745133688,1.83215382162947,1.94089908817423,2.06307258776358,2.20272969426629,2.36449775600426,2.55279594606003,2.7705630456368
"196",1.67545745033491,1.76730225088137,1.8624338243158,1.96185873814562,2.06693331249658,2.17944643276713,2.30164456613159,2.43609102399992,2.58523379947694,2.75070082520735
"196.5",2.58320870125348,2.47018476383064,2.36249274532717,2.26176553506019,2.1702034033817,2.09070834328777,2.02692465307242,1.98301062692534,1.96293748561353,1.9693461188975
"197",2.27646189807128,2.28907940251861,2.30544399749724,2.326703221856,2.35440335045897,2.39058380488062,2.43780567350908,2.49899126349498,2.57693141317618,2.67348204969037
"197.5",1.52593209270772,1.62481555134576,1.72498770385172,1.82684321009979,1.93091386266846,2.03790105642801,2.14868559713253,2.26427252036199,2.38562164713565,2.51337126518742
"198",0.788247687374278,1.02488584506372,1.25997977886362,1.49305657335074,1.72347898889479,1.9504065538045,2.17278381082875,2.38940643984861,2.59912430072321,2.801172542165
"198.5",2.20516986910859,2.12948591321949,2.05976392058802,1.99782973032757,1.94614360696839,1.90795045649612,1.88732520444084,1.8889175083739,1.91716784697822,1.97502916983107
"199",1.52255051523814,1.58190803841782,1.64423765416561,1.71044955978145,1.78177021936954,1.85981724789116,1.94662203255221,2.04450246967562,2.155672178018,2.28160322963282
"199.5",1.26460659536658,1.40103872341896,1.53708261845321,1.67261938489768,1.80748881446482,1.94147960433543,2.07432640221385,2.20572643022074,2.33539053185433,2.46312641600664
"200",1.08286137661074,1.31579998134859,1.54652396758461,1.77435511290999,1.99837953256687,2.21739188051035,2.42987849335773,2.63411221895472,2.82844360630326,3.01177575888166
"200.5",1.03163032929079,1.24098584013488,1.44890554857724,1.6549497430546,1.85852592516185,2.05885263355712,2.25494851568759,2.44569380794198,2.63001912265717,2.80721330951166
"201",0.928166624869512,1.1728200588343,1.41522990672583,1.65470907487548,1.89033172476363,2.12087674422236,2.34481067090491,2.56038376122493,2.76592498909609,2.96032311041114
"201.5",0.919622212687031,1.15674422392233,1.39177949607397,1.62408896954467,1.85281153031385,2.07681143301533,2.29466241821096,2.50473706524078,2.70548116787858,2.89586116804623
"202",0.932891886100874,1.20129322916298,1.46706936244436,1.7294163207927,1.98725078479981,2.23914393671506,2.4833014792752,2.71767604552988,2.94031237551471,3.14991020759308
"202.5",0.927924789483421,1.17853237513258,1.42683795520238,1.67213654516936,1.91347819911294,2.14961000899583,2.37895858348703,2.59972861838751,2.81020557668004,3.00924927918205
"203",0.937541150887376,1.19615729320588,1.45231404637113,1.7052582274605,1.95397494462742,2.19712563098719,2.43302932555172,2.65976798272048,2.8755098459674,3.07903678431156
"203.5",0.966983797064051,1.22944896450531,1.48941026744104,1.74610090246247,1.99848762451841,2.24520766021187,2.48454965022108,2.71456086319695,2.93337641730801,3.13975615301212
"204",0.976807679473972,1.23605991985365,1.49285996738339,1.7464568429938,1.99583862446575,2.23967066163237,2.4762769120867,2.70374494253155,2.92024835625773,3.12457258660032
"204.5",0.984766327224761,1.23107563582784,1.47519068066313,1.71643947291768,1.95391652742081,2.18642757655858,2.4124728691483,2.63034112742792,2.83839806063413,3.03555685390804
"205",0.994473418530963,1.23511828580138,1.47367596200109,1.70950724911271,1.94175084659862,2.16927076309056,2.39064043022301,2.60423207483721,2.80849115406636,3.00238388596402
"205.5",1.01242445802441,1.25054907592064,1.4866323865859,1.72004924383535,1.94995728156262,2.17524548150644,2.39451863631809,2.60618475704842,2.8087234751795,3.00112373494739
"206",1.02832924449063,1.26074581830507,1.49122803107749,1.71918348867575,1.94381395742166,2.16406662644532,2.37861938474847,2.58596364932319,2.78465870532464,2.97374646724207
"206.5",1.04457500138989,1.27337191290888,1.50029516715951,1.72477096041675,1.94602610902954,2.16304084125115,2.37453453633516,2.57904595335689,2.77517958972813,2.96200742640701
"207",1.06043657199898,1.28319015506525,1.50418365743181,1.72287805796663,1.93854704154015,2.1502326525007,2.35673189823193,2.55667211469726,2.74874239129774,2.93207096325971
"207.5",1.08137604874891,1.29810991760254,1.5131948378051,1.72612582218828,1.93622241538813,2.14258714737395,2.34409298286135,2.5394539282525,2.72744184425577,2.90724000959942
"208",1.10190668075254,1.31367723117596,1.52388314173935,1.73204524467004,1.93751787548074,2.13944945072016,2.33677055908283,2.52826095830008,2.71275530238729,2.88947862806385
"208.5",1.12095014896783,1.32512476993731,1.52787507582976,1.72876487305168,1.92720640355889,2.12242445819306,2.31344553584067,2.4991588317055,2.67850351390015,2.85077412175419
"209",1.14061991180527,1.33927378089735,1.53659570085934,1.73217776498104,1.92547033096189,2.11574846147537,2.30210178634976,2.48349153578904,2.65892567219402,2.82774448358007
"209.5",1.16258910678099,1.35535477561795,1.54689109401603,1.73682157590539,1.92463891737468,2.10967402228472,2.29108664535522,2.4679180321745,2.63925256079393,2.80448133617437
"210",1.18611719090001,1.37218527517728,1.55713865852006,1.74063596603591,1.9222172050928,2.10127567961124,2.27704950577885,2.44866934284069,2.61530495996146,2.77640424779338
"210.5",1.21021022790915,1.38955097069908,1.56789126174425,1.74492471473402,1.92023848312182,2.09328805300934,2.26338962844216,2.42976297012184,2.59166294017151,2.74859401665959
"211",1.23601257612384,1.40913939606649,1.58137084916907,1.75243273115912,1.92195555984045,2.08945201566861,2.25431012687567,2.41583160851307,2.57334959008985,2.72642059803691
