"2MF3H","PLP","SB"
1.01200913419199e-06,0.000135212009134191,1.33879908658165e-05
2.22583110730691e-06,0.000122025831107306,2.65741688927103e-05
3.7004149132461e-06,0.000109100414913244,3.94995850867803e-05
5.51561833258928e-06,9.65156183325859e-05,5.20843816674469e-05
7.77904737705058e-06,8.43790473770455e-05,6.42209526229969e-05
1.06326263751771e-05,7.28326263751696e-05,7.57673736248834e-05
1.4254582700054e-05,6.20545827000432e-05,8.65454173000242e-05
1.88482811122333e-05,5.22482811122175e-05,9.63517188878712e-05
2.46079373943193e-05,4.36079373942988e-05,0.000104992062605836
3.16627064086556e-05,3.62627064086438e-05,0.000112337293591627
