"wavelength","2MF3H","PLP","SB"
"190",13409.7222222222,6655.99999999999,16937.2619396058
"190.5",20111.1111111111,6826,17782.8537927757
"191",18694.4444444444,9725.99999999999,13639.608905025
"191.5",16166.6666666667,10334,14002.6227353915
"192",11538.1944444444,13184,10466.4374667579
"192.5",10611.1111111111,3888,22869.1772704271
"193",16541.6666666667,6930,18990.0605909402
"193.5",26166.6666666667,7064,16279.1711062999
"194",22506.9444444444,12970,12894.82891867
"194.5",13472.2222222222,14080,12277.7274830299
"195",18159.7222222222,10336,12961.1450517705
"195.5",26729.1666666667,9944,13919.2327534504
"196",17920.1388888889,10674,15989.6374848587
"196.5",10875,18172,8599.53320005471
"197",14034.7222222222,15254,14918.9408370131
"197.5",11392.3611111111,9610,16060.3270183494
"198",11010.4166666667,3704,20636.3871974794
"198.5",15680.5555555556,15380,8196.92097740362
"199",14559.0277777778,9862,13023.2992992149
"199.5",8111.11111111111,7590,17189.9525337137
"200",8399.30555555556,5708,22600.183818637
"200.5",9496.52777777778,5526,20528.7108958797
"201",9111.11111111111,4588,22303.0776079446
"201.5",9138.88888888889,4582,21723.3601902751
"202",9420.13888888889,4458,23945.6006500782
"202.5",9319.44444444445,4546,22693.4449015614
"203",9322.91666666667,4556,23310.4700754507
"203.5",9434.02777777778,4728,23764.1404735795
"204",9392.36111111111,4816,23612.3172936116
"204.5",9399.30555555556,4958,22772.1251019514
"205",9381.94444444445,5062,22448.149078648
"205.5",9368.05555555556,5200,22396.2994701737
"206",9347.22222222222,5346,22111.336372874
"206.5",9309.02777777778,5480,21974.3479915367
"207",9288.19444444445,5628,21665.957938053
"207.5",9260.41666666667,5810,21393.9979715323
"208",9211.80555555556,5982,21194.0696398049
"208.5",9177.08333333334,6162,20801.2135140773
"209",9118.05555555556,6331.99999999999,20557.969991003
"209.5",9069.44444444445,6520,20303.9014091572
"210",9006.94444444444,6724,20005.7300693743
"210.5",8940.97222222222,6932,19709.6216809671
"211",8878.47222222222,7148,19460.1297877558
"211.5",8798.61111111111,7356,19195.8144738751
"212",8725.69444444445,7566,18929.2969040056
"212.5",8635.41666666667,7786,18701.194754429
"213",8552.08333333333,8018,18437.6351781199
"213.5",8447.91666666667,8238,18195.6615083102
"214",8357.63888888889,8462,17962.2734177258
"214.5",8260.41666666667,8676,17748.9745174227
"215",8156.25,8896,17542.2905378453
"215.5",8041.66666666667,9115.99999999999,17353.3068642993
"216",7934.02777777778,9302,17178.659318235
