"2MF3H";"PLP";"SB"
1,01199887508664e-06;0,000135211998875086;1,33880011249218e-05
2,22580893073055e-06;0,000122025808930729;2,65741910692865e-05
3,70037888199708e-06;0,000109100378881995;3,94996211180293e-05
5,5155662632988e-06;9,65155662632954e-05;5,20844337367375e-05
7,77897698318285e-06;8,43789769831778e-05;6,42210230168644e-05
1,06325356190437e-05;7,28325356190363e-05;7,57674643810169e-05
1,42544704603713e-05;6,20544704603605e-05;8,65455295397067e-05
1,88481481448091e-05;5,22481481447933e-05;9,63518518552952e-05
2,46077871816681e-05;4,36077871816476e-05;0,000104992212818487
3,16625450897355e-05;3,62625450897236e-05;0,000112337454910548
