"wavelength"	"S1"	"S2"	"S3"	"S4"	"S5"	"S6"	"S7"	"S8"	"S9"	"S10"
"190"	1.1402978087136	1.29214537510939	1.44480871773153	1.59853766747486	1.75366886484079	1.91064631482442	2.07002759703777	2.23244893534433	2.39851793407799	2.56863865703575
"190.5"	1.18138654326761	1.35027691574223	1.52155434846723	1.69594987696337	1.87444855219635	2.0583495866714	2.24928452600762	2.44911503844902	2.65961904802197	2.88197889443657
"191"	1.51659800978221	1.59089535362542	1.66904694167973	1.7522331335207	1.84204443235476	1.94057859934083	2.0504699941506	2.17472454177116	2.31621295038204	2.47684427359033
"191.5"	1.60110878581276	1.66910741343062	1.74036502555081	1.81587968388226	1.89699625009351	1.98548850154064	2.08358394039358	2.19382424860386	2.31863677455825	2.45963573255647
"192"	1.93443656568633	1.91260769865604	1.89449615633716	1.88124036680489	1.8743743316816	1.87592129053581	1.88842201913834	1.91477565896103	1.95775093815667	2.01918909245396
"192.5"	0.842615094256419	1.10578421800506	1.36677076730923	1.62490633028221	1.87929023964346	2.12873457899608	2.37174756790742	2.60662701660975	2.8317473056651	3.04602737964958
"193"	1.20799832983225	1.38710309671723	1.56737648523565	1.74917638493982	1.93298504250465	2.11943850716259	2.30933552687409	2.50358750962894	2.70306486516225	2.9083464258535
"193.5"	1.1995640470275	1.35283869103573	1.51053359963564	1.67400247574575	1.84506939812737	2.02614019756461	2.22023610627337	2.43080448852482	2.6611376343307	2.91342495401397
"194"	1.9491130151641	1.97544134764274	2.00765818235388	2.04756686895968	2.09759737327676	2.16095464823257	2.24166346028155	2.34431625220303	2.47329888296127	2.63152799867673
"194.5"	2.08179331809524	2.07438119592299	2.0709520441287	2.07272564458589	2.08134562100139	2.09897979671444	2.12835051518919	2.17256409494779	2.23458712165959	2.31639240855342
"195"	1.58945292299208	1.64611129342832	1.70682045352869	1.77282095477536	1.84578440737166	1.92791554686493	2.02198307091554	2.13114619030565	2.2584220036895	2.40581691600566
"195.5"	1.55794910303128	1.64281179836146	1.73360779941463	1.83215417689034	1.94089938533902	2.06307276301945	2.20272969938296	2.36449757945026	2.5527956326052	2.77056269667704
"196"	1.67545753303906	1.76730239219113	1.86243399568456	1.96185890665944	2.06693344223719	2.17944648870549	2.30164452196723	2.43609087387188	2.58523356881757	2.75070057088694
"196.5"	2.58320885613738	2.47018503419222	2.36249308445311	2.26176588902852	2.17020371323004	2.09070855127637	2.02692471534516	1.98301053246867	1.96293727387809	1.96934588013354
"197"	2.27646200759684	2.28907959386567	2.30544423782343	2.32670347324874	2.35440357145772	2.39058395487654	2.43780572164081	2.49899120197101	2.5769312696592	2.67348188753644
"197.5"	1.52593212368285	1.62481560386889	1.72498776675801	1.82684327052055	1.93091390656854	2.03790107013608	2.14868557041862	2.26427245103188	2.38562154528549	2.51337115325349
"198"	0.788247623107889	1.02488572823702	1.25997962338464	1.49305639533132	1.72347880606294	1.95040638374044	2.17278366735071	2.38940632755859	2.5991242098901	2.80117244853283
"198.5"	2.20517004126885	2.12948621349379	2.05976429676438	1.99783012214009	1.94614394852389	1.90795068328007	1.8873252674774	1.88891739542718	1.91716760225543	1.97502889435223
"199"	1.52255059647794	1.58190817900906	1.64423782816943	1.71044973727138	1.78177036765069	1.85981733500451	1.94662203434593	2.04450238038272	2.15567202007537	2.28160305384327
"199.5"	1.26460658654407	1.40103870860619	1.53708260100367	1.67261936867509	1.80748880368015	1.9414796030846	2.07432641354916	2.20572645476582	2.33539056652271	2.46312645398926
"200"	1.08286131148632	1.31579986747921	1.54652382438829	1.77435496280361	1.99837940006729	2.2173917896351	2.42987846236838	2.6341122524838	2.82844368803456	3.01177585140697
"200.5"	1.03163028408722	1.24098576039197	1.44890544694232	1.65494963413701	1.85852582495639	2.05885255776644	2.25494847632226	2.44569380822175	2.63001915226333	2.8072133444797
"201"	0.928166551864197	1.17281992952323	1.41522974091775	1.65470889545912	1.89033155681158	2.1208766123758	2.34481059406722	2.56038374459885	2.76592501676344	2.9603231451536
"201.5"	0.91962214815909	1.15674411034775	1.39177935181103	1.62408881579622	1.85281139028684	2.07681132947973	2.29466236855518	2.5047370740592	2.70548122007229	2.89586122867275
"202"	0.932891809973549	1.20129309630832	1.46706919585952	1.72941614702325	1.98725063287198	2.23914383505176	2.48330144946188	2.71767609297977	2.94031248079273	3.14991032625134
"202.5"	0.927924720972288	1.17853225514823	1.4268378039447	1.67213638596024	1.91347805746355	2.14960990990687	2.37895854598679	2.59972864734967	2.81020565521455	3.0092493684824
"203"	0.93754107862291	1.19615716686585	1.45231388751856	1.70525806098837	1.95397479776029	2.19712553039448	2.43302929150991	2.65976802036975	2.87550993718294	3.07903688754482
"203.5"	0.966983725643914	1.22944884015041	1.48941011206241	1.74610074134849	1.99848748531389	2.24520756997362	2.48454962946869	2.71456091700731	2.93337652704103	3.13975627615964
"204"	0.976807609316505	1.23605979764573	1.4928598145879	1.74645668438249	1.99583848711985	2.23967057205942	2.47627689039469	2.70374499370758	2.92024846206438	3.12457270542661
"204.5"	0.984766263453042	1.23107552450196	1.47519054100795	1.71643932712485	1.95391639975662	2.18642749078656	2.4124728433189	2.63034116607637	2.8383981475285	3.035556951911
"205"	0.994473357234362	1.23511817864379	1.47367582728141	1.70950710795561	1.94175072210715	2.16927067789621	2.39064040153124	2.60423210700726	2.80849123171273	3.00238397382194
"205.5"	1.01242439832854	1.25054897162154	1.48663225557553	1.72004910676786	1.94995716102512	2.17524539962229	2.39451860990072	2.60618479034377	2.80872355311934	3.00112382301895
"206"	1.02832918779117	1.26074571920991	1.49122790654357	1.71918335827823	1.94381384256838	2.16406654810594	2.37861935886254	2.58596367992305	2.78465877814211	2.97374654958432
