"wavelength"	"2MF3H"	"PLP"	"SB"
"190"	13409.72222	6656	16937.2648152128
"190.5"	20111.11111	6826	17782.8650374871
"191"	18694.44444	9726	13639.6277738242
"191.5"	16166.66667	10334	14002.6385719904
"192"	11538.19444	13184	10466.4565991517
"192.5"	10611.11111	3888	22869.1652522649
"193"	16541.66667	6930	18990.0663432527
"193.5"	26166.66667	7064	16279.1926670354
"194"	22506.94444	12970	12894.8590374672
"194.5"	13472.22222	14080	12277.7477136962
"195"	18159.72222	10336	12961.1644443064
"195.5"	26729.16667	9944	13919.2623212802
"196"	17920.13889	10674	15989.6533209747
"196.5"	10875	18172	8599.56043762485
"197"	14034.72222	15254	14918.9600294904
"197.5"	11392.36111	9610	16060.3331191183
"198"	11010.41667	3704	20636.377858977
"198.5"	15680.55556	15380	8196.95135656147
"199"	14559.02778	9862	13023.3141011288
"199.5"	8111.111111	7590	17189.9507338496
"200"	8399.305556	5708	22600.1724461993
"200.5"	9496.527778	5526	20528.7033001004
"201"	9111.111111	4588	22303.06556177
"201.5"	9138.888889	4582	21723.3492382109
"202"	9420.138889	4458	23945.5872492287
"202.5"	9319.444444	4546	22693.433019424
"203"	9322.916667	4556	23310.4574504067
"203.5"	9434.027778	4728	23764.127780912
"204"	9392.361111	4816	23612.3048471284
"204.5"	9399.305556	4958	22772.1138903682
"205"	9381.944444	5062	22448.1383666584
"205.5"	9368.055556	5200	22396.2890125185
"206"	9347.222222	5346	22111.3264533607
"206.5"	9309.027778	5480	21974.3383963031
"207"	9288.194444	5628	21665.9489104394
"207.5"	9260.416667	5810	21393.9895043006
"208"	9211.805556	5982	21194.0616093847
"208.5"	9177.083333	6162	20801.2061873911
"209"	9118.055556	6332	20557.9631338732
"209.5"	9069.444444	6520	20303.8950709582
"210"	9006.944444	6724	20005.7243114147
"210.5"	8940.972222	6932	19709.6165003455
"211"	8878.472222	7148	19460.1251414114
"211.5"	8798.611111	7356	19195.8103459205
"212"	8725.694444	7566	18929.2933088467
"212.5"	8635.416667	7786	18701.1916359966
"213"	8552.083333	8018	18437.6326045767
"213.5"	8447.916667	8238	18195.6594087282
"214"	8357.638889	8462	17962.2718041125
"214.5"	8260.416667	8676	17748.9733396577
"215"	8156.25	8896	17542.2897899185
"215.5"	8041.666667	9116	17353.3065104028
"216"	7934.027778	9302	17178.6592992682
"216.5"	7819.444444	9500	17007.0542693858
"217"	7704.861111	9704	16844.8755053905
"217.5"	7576.388889	9890	16698.1114429237
"218"	7468.75	10064	16559.0747953297
"218.5"	7343.75	10216	16429.2982853252
"219"	7239.583333	10350	16330.3623689725
"219.5"	7111.111111	10492	16203.4836747443
"220"	6993.055556	10624	16078.9601971722
"220.5"	6868.055556	10754	15957.4845109106
"221"	6763.888889	10832	15871.4821324152
"221.5"	6656.25	10926	15769.5770178831
"222"	6555.555556	11018	15636.9478836117
"222.5"	6461.805556	11084	15529.5566749124
"223"	6354.166667	11106	15435.9127343704
"223.5"	6263.888889	11124	15310.5936612583
"224"	6180.555556	11146	15180.6300456972
"224.5"	6090.277778	11156	15047.64155027
"225"	6020.833333	11142	14934.3496508847
"225.5"	5951.388889	11106	14807.8199913667
"226"	5888.888889	11092	14660.8960009007
"226.5"	5833.333333	11076	14495.9494062334
"227"	5788.194444	11036	14333.488920266
"227.5"	5763.888889	11012	14135.7266856191
"228"	5729.166667	10972	13956.0796793063
"228.5"	5718.75	10952	13739.815291619
"229"	5704.861111	10922	13534.6164092587
"229.5"	5704.861111	10888	13316.1377732231
"230"	5715.277778	10842	13075.0100870099
"230.5"	5725.694444	10792	12816.8425993909
"231"	5750	10750	12553.1642938257
"231.5"	5760.416667	10702	12304.8950276795
"232"	5795.138889	10628	12052.425699953
"232.5"	5819.444444	10546	11793.0419029779
"233"	5840.277778	10446	11529.0770226512
"233.5"	5868.055556	10350	11272.9993602404
"234"	5899.305556	10230	10979.4082865864
"234.5"	5934.027778	10090	10700.6985101878
"235"	5968.75	9944	10454.5522880471
"235.5"	5989.583333	9774	10177.0826832118
"236"	6017.361111	9580	9917.85585685697
"236.5"	6038.194444	9360	9671.31147499648
"237"	6062.5	9106	9403.16810648186
"237.5"	6083.333333	8852	9168.05863319324
"238"	6107.638889	8564	8925.43600920041
"238.5"	6118.055556	8272	8706.90892282073
"239"	6138.888889	7960	8486.96165221253
"239.5"	6142.361111	7628	8300.06992432024
"240"	6142.361111	7306	8133.43063917875
"240.5"	6142.361111	6974	7978.0230190512
"241"	6142.361111	6654	7845.78359493127
"241.5"	6131.944444	6328	7723.3619951669
"242"	6104.166667	6030	7615.84426798284
"242.5"	6083.333333	5722	7527.0413702929
"243"	6059.027778	5454	7451.96967276478
"243.5"	6024.305556	5202	7385.11787332185
"244"	5989.583333	4966	7338.47828205059
"244.5"	5944.444444	4752	7289.06140526826
"245"	5895.833333	4566	7249.41390492316
"245.5"	5840.277778	4392	7220.12754247032
"246"	5781.25	4244	7193.5768066341
"246.5"	5725.694444	4112	7170.38510136792
"247"	5656.25	3998	7154.01267335546
"247.5"	5572.916667	3886	7149.83878264724
"248"	5493.055556	3790	7143.92884579728
"248.5"	5399.305556	3704	7130.95936178454
